openalex_id,doi,year,title,venue,cell,chemical_family,screen_family,tier,verdict,n_seeds,cited_by,screen_note,RA_DECISION(RETRIEVE/EXCLUDE/UNSURE),RA_NOTE
W4404412862,10.1016/j.emcon.2024.100438,2024,Associations between per- and polyfluoroalkyl substances and menstrual cycle regularity in reproductive-aged female: A cross-sectional study,Emerging contaminants,OVARIAN_PARAMETER,pfas,pfas,1,RELEVANT,3,2,Menstrual cycle regularity.,,
W7131673367,10.1016/j.reprotox.2026.109207,2026,Per- and polyfluoroalkyl substances (PFAS) and menstrual cycle characteristics in midlife women: The Study of Women’s Health Across the Nation,Reproductive Toxicology,OVARIAN_PARAMETER,pfas,pfas,1,RELEVANT,3,2,SWAN menstrual cycle characteristics.,,
W7125520842,10.1021/envhealth.5c00655,2026,Risk Assessment of PFAS-Induced Male Reproductive Toxicity: A Comprehensive Evaluation Using the TRAEC Strategy,Environment & Health,SEMEN_PARAMETER,pfas,pfas,1,RELEVANT,3,1,Structured risk assessment of male reproductive toxicity.,,
W3137773367,10.25259/jrhm_18_2020,2021,Male reproductive health at risk due to exposure to perfluoroalkyl substances: Recent research highlights,Journal of Reproductive Healthcare and Medicine,SEMEN_PARAMETER,pfas,pfas,1,RELEVANT,3,1,Review of male reproductive evidence.,,
W7147626980,10.1210/clinem/dgag148,2026,"The association between PFAS exposure, menstrual cycle parameters, and reproductive hormones in adolescent girls",The Journal of Clinical Endocrinology & Metabolism,OVARIAN_PARAMETER,pfas,pfas,1,RELEVANT,2,1,Menstrual cycle parameters and reproductive hormones in adolescent girls.,,
W7172439643,10.1016/j.jhazmat.2026.143157,2026,Associations between per- and polyfluoroalkyl substances and semen parameters: An updated systematic review and meta-analysis,Journal of Hazardous Materials,SEMEN_PARAMETER,pfas,pfas,1,RELEVANT,4,0,Updated systematic review and meta-analysis on semen parameters. Channel-1; leakage wall applies.,,
W7154607964,10.1021/envhealth.5c00832,2026,Exposure to Legacyand Novel Per- and PolyfluoroalkylSubstances and Diminished Ovarian Reserve: Evidence from Blood-FollicleTransfer and Mixture Risk Assessment in Reproductive-Aged Women,Environment & Health,OVARIAN_PARAMETER,pfas,pfas,1,RELEVANT,3,0,Diminished ovarian reserve; also carries blood-follicle transfer data.,,
W7123517430,10.21203/rs.3.rs-8080347/v1,2026,Size- and hydrophobicity-dependent accumulation of microplastics in follicular fluid is linked to impaired ovarian reserve in women undergoing medically assisted reproduction,Research Square,OVARIAN_PARAMETER,plastic,plastic,1,RELEVANT,2,0,"IMPORTANT — human follicular-fluid MP linked to impaired ovarian reserve, size- and hydrophobicity-resolved. ART frame (Wall 4 selection).",,
W4308437118,10.21203/rs.3.rs-2228346/v1,2022,Effect of PFOA exposure on ovarian reserve function and its metabolism,Research Square,OVARIAN_PARAMETER,pfas,pfas,1,RELEVANT,2,0,"Ovarian reserve function. Near-duplicate of W4318817956 — same exposure, same endpoint, similar title; check for overlap at extraction.",,
W4415721055,10.1093/enendo/wkaf002,2025,Serum concentrations of per- and polyfluoroalkyl substances in women with premature ovarian insufficiency: a cross-sectional case–control study,Environmental Endocrinology,OVARIAN_PARAMETER,pfas,pfas,2,RELEVANT,1,0,"Premature ovarian insufficiency, case-control.",,
W7131795704,10.3389/fendo.2026.1758118,2026,Association between PFAS compounds in follicular fluid and POR and the intervention effect of Qizi Yusi Tang: a study based on targeted PFAS quantification analysis,Frontiers in Endocrinology,OVARIAN_PARAMETER,pfas,pfas,2,RELEVANT,1,0,Follicular-fluid PFAS and poor ovarian response; the herbal-intervention arm is off-cell.,,
W7154503712,10.1016/j.reprotox.2026.109247,2026,"Associations between pollutants, the regularity of daily sex hormone patterns, and hormone profiles over a complete menstrual cycle",Reproductive Toxicology,OVARIAN_PARAMETER,pfas,unclear,2,RELEVANT,1,0,Daily hormone profiles across a complete cycle — unusually fine outcome measurement.,,
W7162817138,10.31083/ceog48278,2026,Association of Perfluoroheptanoic Acid With Total Testosterone: A Retrospective Study in Women of Childbearing Age and an Experimental Study in Female Mice Exposed to Perfluoroheptanoic Acid,Clinical and Experimental Obstetrics & Gynecology,OVARIAN_PARAMETER,pfas,pfas,2,RELEVANT,1,0,"Total testosterone in women of childbearing age, with an experimental arm.",,
W2160337287,10.1155/2012/713696,2012,Endocrine-Disrupting Chemicals: Associated Disorders and Mechanisms of Action,Journal of Environmental and Public Health,MIXTURE_UNSEPARABLE,pfas,unclear,1,RELEVANT,2,613,Wall 1. EDC disorders and mechanisms.,,
W3131348191,10.1016/j.scitotenv.2021.145758,2021,"A comparative review of microplastics and nanoplastics: Toxicity hazards on digestive, reproductive and nervous system",The Science of The Total Environment,INSUFFICIENT_INFO,plastic,plastic,3,UNCERTAIN,2,436,Multi-system toxicity review; species scope unstated.,,
W1672471417,10.2478/v10001-009-0036-1,2009,Environmental factors and semen quality,International Journal of Occupational Medicine and Environmental Health,MIXTURE_UNSEPARABLE,none,unclear,2,RELEVANT,1,193,Wall 1.,,
W2739697276,10.1080/14647273.2017.1358828,2017,"Exposure to modern, widespread environmental endocrine disrupting chemicals and their effect on the reproductive potential of women: an overview of current epidemiological evidence",Human Fertility,MIXTURE_UNSEPARABLE,pfas,unclear,1,RELEVANT,3,190,Wall 1. EDC overview on women's reproductive potential.,,
W1513271034,10.1289/ehp.1205301,2012,Persistent Environmental Pollutants and Couple Fecundity: The LIFE Study,Environmental Health Perspectives,MIXTURE_UNSEPARABLE,pfas,both,1,RELEVANT,8,185,LIFE Study persistent pollutants: spans PFAS and organochlorines (B.2). Wall 1 — separability not determinable from the abstract.,,
W3114112276,10.1016/j.envres.2020.110694,2020,Endocrine disrupting chemicals: Impacts on human fertility and fecundity during the peri-conception period,Environmental Research,ROUTING_DEFERRED_TO_FULLTEXT,none,unclear,3,UNCERTAIN,8,164,'Endocrine disrupting chemicals' generally; whether B.6-family compounds are separately estimated is not visible and no abstract is indexed. Wall 1.,,
W4385774153,10.1016/j.scitotenv.2023.166258,2023,Adverse effects of microplastics and nanoplastics on the reproductive system: A comprehensive review of fertility and potential harmful interactions,The Science of The Total Environment,INSUFFICIENT_INFO,plastic,plastic,3,UNCERTAIN,3,116,"Comprehensive review of MP/NP reproductive effects; species scope not stated in the abstract, and this literature is predominantly rodent and in vitro.",,
W4293767673,10.3389/ftox.2022.901798,2022,Developmental and reproductive toxic effects of exposure to microplastics: A review of associated signaling pathways,Frontiers in Toxicology,INSUFFICIENT_INFO,plastic,plastic,3,UNCERTAIN,2,97,Signalling-pathway review; species scope unstated.,,
W2889548859,10.3390/ijerph15091880,2018,Reproductive Function in a Population of Young Faroese Men with Elevated Exposure to Polychlorinated Biphenyls (PCBs) and Perfluorinated Alkylate Substances (PFAS),International Journal of Environmental Research and Public Health,MIXTURE_UNSEPARABLE,pfas,both,1,RELEVANT,4,93,"Faroese men, PCBs and PFAS jointly. Wall 1; high-exposure population also relevant to Wall 9.",,
W2916698263,10.1186/s12958-018-0448-5,2019,Water and soil pollution as determinant of water and food quality/contamination and its impact on female fertility,Reproductive Biology and Endocrinology,MIXTURE_UNSEPARABLE,pfas,unclear,1,RELEVANT,6,87,"Wall 1. Water and soil pollution generally, female fertility outcome.",,
W1967553734,10.1136/oemed-2014-102264,2014,"Phthalates, perfluoroalkyl acids, metals and organochlorines and reproductive function: a multipollutant assessment in Greenlandic, Polish and Ukrainian men",Occupational and Environmental Medicine,MIXTURE_UNSEPARABLE,pfas,both,2,RELEVANT,1,84,"Wall 1. Multipollutant reproductive-function assessment, Greenlandic population — phthalates, PFAA, metals and organochlorines jointly.",,
W4309587595,10.1002/mrd.23652,2022,The effects of endocrine‐disrupting chemicals on ovarian‐ and ovulation‐related fertility outcomes,Molecular Reproduction and Development,MIXTURE_UNSEPARABLE,none,unclear,1,RELEVANT,4,68,Wall 1. EDCs on ovulation-related fertility outcomes.,,
W4386220768,10.3389/fphys.2023.1254886,2023,Toxicity of microplastics and nanoplastics: invisible killers of female fertility and offspring health,Frontiers in Physiology,INSUFFICIENT_INFO,plastic,plastic,3,UNCERTAIN,4,65,Review titled on female fertility; species scope unstated.,,
W4318336296,10.1016/j.jclepro.2023.136191,2023,"Perfluoroalkyl and polyfluoroalkyl substances (PFAS) adsorbed on microplastics in drinking water: Implications for female exposure, reproductive health risk and its mitigation strategies through in silico methods",Journal of Cleaner Production,MIXTURE_UNSEPARABLE,both,both,1,RELEVANT,3,55,"Wall 1's physical case: PFAS adsorbed ONTO microplastics. In-silico, so no human estimate.",,
W4353056596,10.1016/j.scitotenv.2023.163028,2023,The unheeded inherent connections and overlap between microplastics and poly- and perfluoroalkyl substances: A comprehensive review,The Science of The Total Environment,MIXTURE_UNSEPARABLE,both,both,1,RELEVANT,2,49,"IMPORTANT for Wall 1 — a comprehensive review of the overlap between microplastics and PFAS, i.e. of B.6's two families as one problem. Directly relevant to whether the Call 1 chapter split is defensible against the physical co-occurrence of the exposures.",,
W2965051076,10.1016/j.envint.2019.105066,2019,Seminal plasma metabolites mediate the associations of multiple environmental pollutants with semen quality in Chinese men,Environment International,MIXTURE_UNSEPARABLE,pfas,both,2,RELEVANT,1,49,"Wall 1. Arsenic, phthalates and PFCs jointly against semen quality.",,
W2319809145,10.1111/andr.12171,2016,Paternal exposures to environmental chemicals and time‐to‐pregnancy: overview of results from the<scp>LIFE</scp>study,Andrology,MIXTURE_UNSEPARABLE,none,unclear,1,RELEVANT,2,48,"Wall 1. LIFE Study paternal exposures across many chemical classes, TTP outcome.",,
W2169539291,10.1530/rep-13-0472,2013,Persistent environmental pollutants and couple fecundity: an overview,Reproduction,MIXTURE_UNSEPARABLE,pfas,unclear,1,RELEVANT,3,42,Wall 1. Couple fecundity across pollutant classes.,,
W4403779899,10.1016/j.ecoenv.2024.117245,2024,Reproductive and developmental implications of micro- and nanoplastic internalization: Recent advances and perspectives,Ecotoxicology and Environmental Safety,INSUFFICIENT_INFO,plastic,plastic,3,UNCERTAIN,2,39,Species scope unstated.,,
W3204210883,10.3389/fgene.2021.692897,2021,Overview of the Mechanisms of Action of Selected Bisphenols and Perfluoroalkyl Chemicals on the Male Reproductive Axes,Frontiers in Genetics,MIXTURE_UNSEPARABLE,pfas,both,1,RELEVANT,4,35,Wall 1. Bisphenols and perfluoroalkyls on the male reproductive axes.,,
W4406980968,10.1016/j.toxrep.2025.101938,2025,Microplastics: A threat to Fetoplacental unit and Reproductive systems,Toxicology Reports,INSUFFICIENT_INFO,plastic,plastic,3,UNCERTAIN,2,26,Species scope unstated.,,
W132620466,10.1016/b978-0-12-382032-7.10047-5,2011,Perfluorooctane sulfonate (PFOS) and perfluorooctanoic acid (PFOA),Elsevier eBooks,INSUFFICIENT_INFO,pfas,pfas,3,UNCERTAIN,3,25,Title only.,,
W4405642070,10.1007/s13273-024-00498-8,2024,Impact and mechanisms of microplastics and nanoplastics on the reproductive system,Molecular & Cellular Toxicology,INSUFFICIENT_INFO,plastic,plastic,3,UNCERTAIN,3,20,No abstract; species scope not determinable.,,
W4390058404,10.3390/ijms25010136,2023,Perfluorooctanoic Acid (PFOA) Exposure Compromises Fertility by Affecting Ovarian and Oocyte Development,International Journal of Molecular Sciences,INSUFFICIENT_INFO,pfas,pfas,3,UNCERTAIN,2,14,"'Compromises fertility' via ovarian and oocyte development — species not stated, and this design shape is usually rodent. Defer rather than assume.",,
W4323350289,10.1093/humrep/dead028,2023,Serum persistent organic pollutants and diminished ovarian reserve: a single-exposure and mixture exposure approach from a French case–control study,Human Reproduction,MIXTURE_UNSEPARABLE,none,unclear,2,RELEVANT,1,13,"Wall 1. Diminished ovarian reserve against POPs; single-exposure arm may be separable, so this could become B.6's at full text.",,
W4403750750,10.1530/rep-24-0155,2024,IMPACT OF REAL-LIFE ENVIRONMENTAL EXPOSURES ON REPRODUCTION: Impact of human-relevant doses of endocrine-disrupting chemical and drug mixtures on testis development and function,Reproduction,MIXTURE_UNSEPARABLE,plastic,unclear,1,RELEVANT,2,12,Wall 1. EDC and drug mixtures on testis development.,,
W7128249970,10.1016/j.ecoenv.2026.119831,2026,Size-dependent toxicological effects of microplastics: A review,Ecotoxicology and Environmental Safety,INSUFFICIENT_INFO,plastic,plastic,3,UNCERTAIN,4,12,Size-dependent toxicology review; species and endpoint scope unstated.,,
W4404137738,10.1021/acs.est.4c04356,2024,Characterization of Chemical Exposome in A Paired Human Preconception Pilot Study,Environmental Science & Technology,MIXTURE_UNSEPARABLE,pfas,unclear,2,RELEVANT,1,11,Wall 1. Paired preconception exposome.,,
W4409259355,10.1016/j.jhazmat.2025.138210,2025,New insights into the reproductive hazards posed by polystyrene nanoplastics,Journal of Hazardous Materials,INSUFFICIENT_INFO,plastic,plastic,3,UNCERTAIN,1,10,Species scope not stated.,,
W4406939348,10.1055/s-0044-1801388,2024,Endocrine-Disrupting Chemicals and Female Reproductive Aging,Seminars in Reproductive Medicine,MIXTURE_UNSEPARABLE,pfas,unclear,2,RELEVANT,1,8,Wall 1. EDCs and female reproductive aging.,,
W4412521228,10.1016/j.reprotox.2025.109002,2025,Unravelling the potential mechanisms of nano- and microplastic toxicity to the male reproductive system: A systematic review,Reproductive Toxicology,INSUFFICIENT_INFO,plastic,plastic,3,UNCERTAIN,2,8,Systematic review of male reproductive mechanisms; species scope unstated and probably preclinical.,,
W4407164619,10.1055/s-0044-1801405,2024,Environmental Exposures and Polycystic Ovary Syndrome: A Review,Seminars in Reproductive Medicine,MIXTURE_UNSEPARABLE,plastic,unclear,2,RELEVANT,1,7,Wall 1. Environmental exposures and PCOS.,,
W4401375383,10.3389/frph.2024.1394099,2024,Drinking water quality impacts oocyte viability and embryo development,Frontiers in Reproductive Health,INSUFFICIENT_INFO,pfas,unclear,3,UNCERTAIN,1,7,Drinking-water quality and oocyte viability; species and exposure class both unstated.,,
W4404640241,10.17749/2313-7347/ob.gyn.rep.2024.564,2024,The influence of environmental factors on woman's reproductive health,Obstetrics Gynecology and Reproduction,MIXTURE_UNSEPARABLE,pfas,unclear,2,RELEVANT,1,6,Wall 1.,,
W571742238,10.1016/b978-0-12-804239-7.00043-3,2017,Perfluorooctane Sulfonate and Perfluorooctanoic Acid,Elsevier eBooks,INSUFFICIENT_INFO,pfas,pfas,3,UNCERTAIN,9,6,"Title only, no abstract indexed.",,
W4414070975,10.31083/ceog39882,2025,Environmental Chemicals and Female Reproductive Health: Unraveling Mechanisms and Societal Impacts — A Narrative Review,Clinical and Experimental Obstetrics & Gynecology,MIXTURE_UNSEPARABLE,both,unclear,1,RELEVANT,2,5,Wall 1. Environmental chemicals and female reproductive health.,,
W7130431531,10.3389/fmed.2026.1770866,2026,Environmental determinants of male infertility: emerging threats and technological interventions,Frontiers in Medicine,MIXTURE_UNSEPARABLE,plastic,unclear,1,RELEVANT,2,4,Broad environmental review of male infertility determinants.,,
W4399295872,10.3389/fcell.2024.1335028,2024,Reproductive toxicology of environmental endocrine-disrupting chemicals in women: a cohort study protocol,Frontiers in Cell and Developmental Biology,MIXTURE_UNSEPARABLE,pfas,unclear,2,RELEVANT,1,4,Wall 1. Cohort protocol on EDC reproductive toxicology in women.,,
W4404597180,10.3390/ijerph21121541,2024,Exposure to Environmental Chemicals and Infertility Among US Reproductive-Aged Women,International Journal of Environmental Research and Public Health,MIXTURE_UNSEPARABLE,pfas,unclear,1,RELEVANT,3,3,Wall 1. 23 chemicals against an infertility outcome in US women; separability decides whether this is B.6's.,,
W4409386614,10.1111/andr.70039,2025,Fetal exposure to a mixture of endocrine‐disrupting chemicals and biomarkers of male fecundity: A population‐based cohort study,Andrology,MIXTURE_UNSEPARABLE,pfas,unclear,2,RELEVANT,1,3,Wall 1. EDC mixture including but not limited to B.6 families; male fecundity biomarkers.,,
W7127605826,10.1016/j.reprotox.2026.109181,2026,Uptake of polystyrene nanoplastics by cumulus-oocyte complexes impairs oocyte and embryo development,Reproductive Toxicology,INSUFFICIENT_INFO,plastic,plastic,3,UNCERTAIN,2,3,"Cumulus-oocyte complex uptake; species not stated, and COC maturation work is usually bovine, porcine or murine. Defer rather than assume.",,
W4416427954,10.1016/j.envpol.2025.127413,2025,"Current insights into the impact of plastic-derived pollutants (phthalates), microplastics, and nanoplastics on hypothalamic phenotype and molecular pathways: A scoping review",Environmental Pollution,MIXTURE_UNSEPARABLE,plastic,both,1,RELEVANT,2,2,Wall 1. Phthalates with MP and NP on hypothalamic phenotype.,,
W4416378066,10.1093/exposome/osaf014,2025,Multi-matrix chemical exposome characterization and its association with semen quality,Exposome,MIXTURE_UNSEPARABLE,pfas,unclear,2,RELEVANT,1,2,Wall 1. Multi-matrix exposome against semen quality.,,
W4413890485,10.1080/19396368.2025.2545248,2025,Perilous effects of polystyrene fragments on male reproductive system and tenable directives of remediation,Systems Biology in Reproductive Medicine,INSUFFICIENT_INFO,plastic,plastic,3,UNCERTAIN,2,2,Species scope unstated.,,
W4411807535,10.3389/fpubh.2025.1608861,2025,Association between endocrine disrupting chemicals and female infertility: a study based on NHANES database,Frontiers in Public Health,MIXTURE_UNSEPARABLE,pfas,unclear,1,RELEVANT,3,1,Wall 1. EDCs against female infertility in NHANES; separability decides ownership.,,
W4388578109,10.1007/978-3-031-36494-5_7,2023,Endocrine Disruption in the Male,,MIXTURE_UNSEPARABLE,pfas,unclear,1,RELEVANT,3,1,Wall 1.,,
W7155353192,10.1038/s44454-026-00032-6,2026,"Impacts of environmental stressors on fertility and fecundity across taxa, with implications for planetary health",npj Emerging Contaminants,INSUFFICIENT_INFO,both,unclear,3,UNCERTAIN,2,1,Explicitly cross-taxa review of environmental stressors on fertility; human portion not separable from the abstract.,,
W4393238819,10.59400/jts.v2i1.443,2024,Threats of nano/microplastics to reproduction and offspring: Potential mechanisms and perspectives,Journal of Toxicological Studies,INSUFFICIENT_INFO,plastic,plastic,3,UNCERTAIN,2,1,Species scope unstated.,,
W7128503613,10.1093/biolre/ioag036,2026,Impact of nanoparticles and nanoplastics on female reproductive health,Biology of Reproduction,INSUFFICIENT_INFO,plastic,plastic,3,UNCERTAIN,1,1,Species scope unstated.,,
W4411053503,10.1097/rd9.0000000000000137,2025,The effect of perfluorooctanoic acid on ovarian progesterone production and endometrial receptivity,Reproductive and Developmental Medicine,INSUFFICIENT_INFO,pfas,pfas,3,UNCERTAIN,1,1,Ovarian progesterone and endometrial receptivity; species unstated.,,
W7165908260,10.1016/j.reprotox.2026.109298,2026,Microplastics as trojan horses: A new perspective on bisphenol toxicity in male infertility and assisted reproduction,Reproductive Toxicology,MIXTURE_UNSEPARABLE,plastic,both,1,RELEVANT,2,0,"Wall 1. Microplastics as vectors for bisphenols — physically both families at once, the leaching case the scope names.",,
W4416393312,10.3390/reprodmed6040037,2025,"Environmental Pollution, Endocrine Disruptors, and Metabolic Status: Impact on Female Fertility—A Narrative Review",Reproductive Medicine,MIXTURE_UNSEPARABLE,both,unclear,1,RELEVANT,2,0,Wall 1. EDC and metabolic status on female fertility.,,
W7169720637,10.1093/biolre/ioag154,2026,Evaluation of the reproductive toxicity of endocrine disruptors during early embryo development,Biology of Reproduction,INSUFFICIENT_INFO,pfas,unclear,3,UNCERTAIN,2,0,Species and exposure class unstated.,,
W7172301594,10.3389/fendo.2026.1867408,2026,Microplastics and female infertility: reproductive toxicity and underlying mechanisms,Frontiers in Endocrinology,INSUFFICIENT_INFO,plastic,plastic,3,UNCERTAIN,1,0,Review on MP and female infertility; species scope not stated.,,
W4406926599,10.57582/river.24010203.062,2024,Implication of nano and microplastics in reproduction: understanding oocyte vulnerability,Research Innovation Views Embryology Reproduction.,INSUFFICIENT_INFO,plastic,plastic,3,UNCERTAIN,1,0,Oocyte vulnerability review; species scope unstated.,,
W4415678996,10.1016/j.crtox.2025.100266,2025,Microplastics in ovarian function and ozone-based mitigation strategies: Emerging evidence and translational implications,Current Research in Toxicology,INSUFFICIENT_INFO,plastic,plastic,3,UNCERTAIN,1,0,Ovarian function plus a mitigation-technology arm; species unstated.,,
