id,batch,stratum,read_mode,cell,outcome_level,dose_unit,phenomenon_window,estimator_class,stigma_object,stigma_bearer,second_read_required,note
W3212153084,2,S4_FERT_NODESIGN,exhaustive,CONTEXT_STIGMA_MEASURE,NONE,NONE,SDT,QUALITATIVE,ABORTION,COMMUNITY,no,"S4 screen, rubric rules 1-7; cell CONTEXT_STIGMA_MEASURE."
W2891441390,2,S4_FERT_NODESIGN,exhaustive,CONTEXT_STIGMA_MEASURE,NONE,NONE,SDT,QUALITATIVE,CONTRACEPTION,COMMUNITY,no,"S4 screen, rubric rules 1-7; cell CONTEXT_STIGMA_MEASURE."
W2007362690,2,S4_FERT_NODESIGN,exhaustive,CONTEXT_STIGMA_MEASURE,NONE,NONE,SDT,QUALITATIVE,ABORTION,COMMUNITY,no,"S4 screen, rubric rules 1-7; cell CONTEXT_STIGMA_MEASURE."
W2762822611,2,S4_FERT_NODESIGN,exhaustive,OFF_OTHER,NONE,NONE,SDT,DESCRIPTIVE,CONTRACEPTION,COMMUNITY,no,"S4 screen, rubric rules 1-7; cell OFF_OTHER."
W2007130504,2,S4_FERT_NODESIGN,exhaustive,OFF_OTHER,NONE,NONE,SDT,DESCRIPTIVE,CONTRACEPTION,COMMUNITY,no,"S4 screen, rubric rules 1-7; cell OFF_OTHER."
W4377018801,2,S4_FERT_NODESIGN,exhaustive,OFF_OTHER_STIGMA,NONE,NONE,SDT,QUALITATIVE,CONTRACEPTION,COMMUNITY,no,Cervical-cancer screening; rule 2 homonym.
W2917869825,2,S4_FERT_NODESIGN,exhaustive,CONTEXT_STIGMA_MEASURE,NONE,NONE,SDT,DESCRIPTIVE,ABORTION,COMMUNITY,no,"S4 screen, rubric rules 1-7; cell CONTEXT_STIGMA_MEASURE."
W2608414238,2,S4_FERT_NODESIGN,exhaustive,CONTEXT_STIGMA_MEASURE,NONE,NONE,SDT,QUALITATIVE,CONTRACEPTION,COMMUNITY,no,"S4 screen, rubric rules 1-7; cell CONTEXT_STIGMA_MEASURE."
W4291893119,2,S4_FERT_NODESIGN,exhaustive,OFF_OTHER,NONE,NONE,SDT,DESCRIPTIVE,CONTRACEPTION,COMMUNITY,no,"S4 screen, rubric rules 1-7; cell OFF_OTHER."
W2505241159,2,S4_FERT_NODESIGN,exhaustive,MIXED_NORM_DIFFUSION,USE,NONE,SDT,DESCRIPTIVE,CONTRACEPTION,COMMUNITY,no,"S4 screen, rubric rules 1-7; cell MIXED_NORM_DIFFUSION."
W2187619108,2,S4_FERT_NODESIGN,exhaustive,LINK_NORM_USE,USE,NONE,SDT,OLS_ADJUSTED,FAMILY_PLANNING,COMMUNITY,no,"S4 screen, rubric rules 1-7; cell LINK_NORM_USE."
W2127263528,2,S4_FERT_NODESIGN,exhaustive,CONTEXT_STIGMA_MEASURE,NONE,NONE,SDT,QUALITATIVE,CONTRACEPTION,COMMUNITY,no,"S4 screen, rubric rules 1-7; cell CONTEXT_STIGMA_MEASURE."
W2159949087,2,S4_FERT_NODESIGN,exhaustive,CONTEXT_STIGMA_MEASURE,NONE,NONE,SDT,DESCRIPTIVE,CONTRACEPTION,COMMUNITY,no,"S4 screen, rubric rules 1-7; cell CONTEXT_STIGMA_MEASURE."
W4387670899,2,S4_FERT_NODESIGN,exhaustive,MIXED_NORM_SUPPLY,USE,NONE,SDT,QUALITATIVE,FAMILY_PLANNING,COMMUNITY,no,"S4 screen, rubric rules 1-7; cell MIXED_NORM_SUPPLY."
W2907821531,2,S4_FERT_NODESIGN,exhaustive,MIXED_NORM_SUPPLY,USE,NONE,SDT,QUALITATIVE,CONTRACEPTION,COMMUNITY,no,"S4 screen, rubric rules 1-7; cell MIXED_NORM_SUPPLY."
W3130467522,2,S4_FERT_NODESIGN,exhaustive,CONTEXT_STIGMA_MEASURE,NONE,NONE,SDT,QUALITATIVE,FAMILY_PLANNING,COMMUNITY,no,"S4 screen, rubric rules 1-7; cell CONTEXT_STIGMA_MEASURE."
W2999373896,2,S4_FERT_NODESIGN,exhaustive,LINK_NORM_USE,USE,NONE,SDT,OLS_ADJUSTED,CONTRACEPTION,COMMUNITY,no,"S4 screen, rubric rules 1-7; cell LINK_NORM_USE."
W2873531723,2,S4_FERT_NODESIGN,exhaustive,MIXED_NORM_SUPPLY,USE,NONE,SDT,QUALITATIVE,FAMILY_PLANNING,COMMUNITY,no,"S4 screen, rubric rules 1-7; cell MIXED_NORM_SUPPLY."
W4309825467,2,S4_FERT_NODESIGN,exhaustive,CONTEXT_STIGMA_MEASURE,NONE,NONE,SDT,QUALITATIVE,FAMILY_PLANNING,COMMUNITY,no,"S4 screen, rubric rules 1-7; cell CONTEXT_STIGMA_MEASURE."
W2791325438,2,S4_FERT_NODESIGN,exhaustive,MIXED_NORM_SUPPLY,USE,NONE,SDT,DESCRIPTIVE,FAMILY_PLANNING,COMMUNITY,no,"S4 screen, rubric rules 1-7; cell MIXED_NORM_SUPPLY."
W4283386002,2,S4_FERT_NODESIGN,exhaustive,MIXED_NORM_SUPPLY,USE,NONE,SDT,DESCRIPTIVE,CONTRACEPTION,COMMUNITY,no,Indonesian; effect of family-planning information exposure on LARC intention.
W1550869509,2,S4_FERT_NODESIGN,exhaustive,OFF_OTHER,NONE,NONE,SDT,DESCRIPTIVE,CONTRACEPTION,COMMUNITY,no,"S4 screen, rubric rules 1-7; cell OFF_OTHER."
W4417137875,2,S4_FERT_NODESIGN,exhaustive,CONTEXT_STIGMA_MEASURE,NONE,NONE,SDT,QUALITATIVE,CONTRACEPTION,COMMUNITY,no,"S4 screen, rubric rules 1-7; cell CONTEXT_STIGMA_MEASURE."
W2016489761,2,S4_FERT_NODESIGN,exhaustive,MIXED_NORM_DIFFUSION,USE,NONE,SDT,DESCRIPTIVE,CONTRACEPTION,COMMUNITY,no,Correction notice; version pair with position 66.
W4393183675,2,S4_FERT_NODESIGN,exhaustive,MIXED_NORM_SECULAR,USE,NONE,SDT,OLS_ADJUSTED,CONTRACEPTION,COMMUNITY,no,D.1.a owns religiosity as a value; bears on PI call 5.
W3167364314,2,S4_FERT_NODESIGN,exhaustive,MIXED_NORM_SUPPLY,USE,NONE,SDT,QUALITATIVE,CONTRACEPTION,COMMUNITY,no,Version pair with position 73.
W1540249726,2,S4_FERT_NODESIGN,exhaustive,OFF_OTHER,NONE,NONE,SDT,DESCRIPTIVE,CONTRACEPTION,COMMUNITY,no,"S4 screen, rubric rules 1-7; cell OFF_OTHER."
W2187750596,2,S4_FERT_NODESIGN,exhaustive,LINK_NORM_USE,USE,NONE,FDT,OLS_ADJUSTED,CONTRACEPTION,COMMUNITY,done,"FULL TEXT READ (13,962 words). Ragan 2012, Stockholm School of Economics working paper - no DOI, and 412's only recorded URL had 404'd. The closest this chapter has come: historical out-of-wedlock childbearing predicts a quarter of Pill demand across Swedish communities, robust to economic, demographic, marriage-market and religion controls and to community fixed effects, with a social-sanction model behind it. Outcome is DEMAND FOR THE PILL, so ruling 2 makes it link evidence. RUBRIC GAP: the exposure is premarital-sex and out-of-wedlock norms, which is D.2.b's territory, and there is no MIXED_NORM_MARRIAGE cell - see PI call 7. SECOND READ CONFIRMED: Tables 2-6 each state Pill demand per woman 16-40 is the DV; out-of-wedlock births are the regressor."
W3194726488,2,S4_FERT_NODESIGN,exhaustive,CONTEXT_STIGMA_MEASURE,NONE,NONE,SDT,QUALITATIVE,CONTRACEPTION,COMMUNITY,no,"S4 screen, rubric rules 1-7; cell CONTEXT_STIGMA_MEASURE."
W2300338906,2,S4_FERT_NODESIGN,exhaustive,CONTEXT_STIGMA_MEASURE,NONE,NONE,SDT,QUALITATIVE,CONTRACEPTION,COMMUNITY,no,"S4 screen, rubric rules 1-7; cell CONTEXT_STIGMA_MEASURE."
W4408720491,2,S4_FERT_NODESIGN,exhaustive,CONTEXT_STIGMA_MEASURE,NONE,NONE,SDT,QUALITATIVE,CONTRACEPTION,COMMUNITY,no,"S4 screen, rubric rules 1-7; cell CONTEXT_STIGMA_MEASURE."
W2035835966,2,S4_FERT_NODESIGN,exhaustive,CONTEXT_STIGMA_MEASURE,NONE,NONE,SDT,DESCRIPTIVE,FAMILY_PLANNING,COMMUNITY,no,"S4 screen, rubric rules 1-7; cell CONTEXT_STIGMA_MEASURE."
W2254680446,2,S4_FERT_NODESIGN,exhaustive,OFF_OTHER,NONE,NONE,SDT,QUALITATIVE,CONTRACEPTION,COMMUNITY,no,"S4 screen, rubric rules 1-7; cell OFF_OTHER."
W972785320,2,S4_FERT_NODESIGN,exhaustive,CONTEXT_STIGMA_MEASURE,NONE,NONE,SDT,DESCRIPTIVE,ABORTION,COMMUNITY,no,"S4 screen, rubric rules 1-7; cell CONTEXT_STIGMA_MEASURE."
W41431518,2,S4_FERT_NODESIGN,exhaustive,OFF_OTHER,NONE,NONE,SDT,DESCRIPTIVE,CONTRACEPTION,COMMUNITY,no,"S4 screen, rubric rules 1-7; cell OFF_OTHER."
W4415462210,2,S4_FERT_NODESIGN,exhaustive,MIXED_NORM_LAW,REALIZED,NONE,SDT,OLS_ADJUSTED,ABORTION,COMMUNITY,no,A.4 owns the legal shock; also carries the B.5 clinical vocabulary.
W2395666896,2,S4_FERT_NODESIGN,exhaustive,CONTEXT_STIGMA_MEASURE,NONE,NONE,SDT,DESCRIPTIVE,CONTRACEPTION,COMMUNITY,no,"S4 screen, rubric rules 1-7; cell CONTEXT_STIGMA_MEASURE."
W4302810370,2,S4_FERT_NODESIGN,exhaustive,CONTEXT_STIGMA_MEASURE,NONE,NONE,SDT,DESCRIPTIVE,CONTRACEPTION,COMMUNITY,no,Version pair with position 119.
W47759905,2,S4_FERT_NODESIGN,exhaustive,CONTEXT_STIGMA_MEASURE,NONE,NONE,SDT,QUALITATIVE,CONTRACEPTION,COMMUNITY,no,"S4 screen, rubric rules 1-7; cell CONTEXT_STIGMA_MEASURE."
W4403589669,2,S4_FERT_NODESIGN,exhaustive,CONTEXT_STIGMA_MEASURE,NONE,NONE,SDT,QUALITATIVE,CONTRACEPTION,COMMUNITY,no,"S4 screen, rubric rules 1-7; cell CONTEXT_STIGMA_MEASURE."
W4413883913,2,S4_FERT_NODESIGN,exhaustive,LINK_NORM_USE,USE,NONE,SDT,OLS_ADJUSTED,CONTRACEPTION,COMMUNITY,no,"S4 screen, rubric rules 1-7; cell LINK_NORM_USE."
W1860015126,2,S4_FERT_NODESIGN,exhaustive,OFF_OTHER,NONE,NONE,SDT,QUALITATIVE,FAMILY_PLANNING,COMMUNITY,no,"S4 screen, rubric rules 1-7; cell OFF_OTHER."
W4402069034,2,S4_FERT_NODESIGN,exhaustive,CONTEXT_STIGMA_MEASURE,NONE,NONE,SDT,QUALITATIVE,CONTRACEPTION,COMMUNITY,no,"S4 screen, rubric rules 1-7; cell CONTEXT_STIGMA_MEASURE."
W4416785715,2,S4_FERT_NODESIGN,exhaustive,MIXED_NORM_SUPPLY,USE,NONE,SDT,DESCRIPTIVE,CONTRACEPTION,COMMUNITY,no,"S4 screen, rubric rules 1-7; cell MIXED_NORM_SUPPLY."
W2184041872,2,S4_FERT_NODESIGN,exhaustive,LINK_NORM_USE,USE,NONE,SDT,OLS_ADJUSTED,CONTRACEPTION,COMMUNITY,no,"S4 screen, rubric rules 1-7; cell LINK_NORM_USE."
W3147179800,2,S4_FERT_NODESIGN,exhaustive,LINK_NORM_USE,USE,NONE,SDT,OLS_ADJUSTED,CONTRACEPTION,COMMUNITY,no,"S4 screen, rubric rules 1-7; cell LINK_NORM_USE."
W4323293999,2,S4_FERT_NODESIGN,exhaustive,LINK_NORM_USE,USE,NONE,SDT,OLS_ADJUSTED,CONTRACEPTION,COMMUNITY,no,"S4 screen, rubric rules 1-7; cell LINK_NORM_USE."
W4406537961,2,S4_FERT_NODESIGN,exhaustive,LINK_NORM_USE,USE,NONE,SDT,OLS_ADJUSTED,CONTRACEPTION,COMMUNITY,no,"S4 screen, rubric rules 1-7; cell LINK_NORM_USE."
W3021136036,2,S4_FERT_NODESIGN,exhaustive,LINK_NORM_USE,USE,NONE,SDT,OLS_ADJUSTED,FAMILY_PLANNING,COMMUNITY,no,"S4 screen, rubric rules 1-7; cell LINK_NORM_USE."
W7150761817,2,S4_FERT_NODESIGN,exhaustive,CONTEXT_STIGMA_MEASURE,NONE,NONE,SDT,QUALITATIVE,FAMILY_PLANNING,COMMUNITY,no,"S4 screen, rubric rules 1-7; cell CONTEXT_STIGMA_MEASURE."
W4213049136,2,S4_FERT_NODESIGN,exhaustive,MIXED_NORM_SUPPLY,USE,NONE,SDT,DESCRIPTIVE,CONTRACEPTION,COMMUNITY,no,"S4 screen, rubric rules 1-7; cell MIXED_NORM_SUPPLY."
W42106813,2,S4_FERT_NODESIGN,exhaustive,CONTEXT_STIGMA_MEASURE,NONE,NONE,SDT,DESCRIPTIVE,CONTRACEPTION,COMMUNITY,no,"S4 screen, rubric rules 1-7; cell CONTEXT_STIGMA_MEASURE."
W1512254559,2,S4_FERT_NODESIGN,exhaustive,OFF_OTHER,NONE,NONE,SDT,DESCRIPTIVE,CONTRACEPTION,COMMUNITY,no,"S4 screen, rubric rules 1-7; cell OFF_OTHER."
W4414135234,2,S4_FERT_NODESIGN,exhaustive,CONTEXT_STIGMA_MEASURE,NONE,NONE,SDT,QUALITATIVE,CONTRACEPTION,COMMUNITY,no,"S4 screen, rubric rules 1-7; cell CONTEXT_STIGMA_MEASURE."
W2186468258,2,S4_FERT_NODESIGN,exhaustive,MIXED_NORM_DIFFUSION,USE,NONE,SDT,QUALITATIVE,FAMILY_PLANNING,COMMUNITY,no,"S4 screen, rubric rules 1-7; cell MIXED_NORM_DIFFUSION."
W2121607718,2,S4_FERT_NODESIGN,exhaustive,CONTEXT_STIGMA_MEASURE,NONE,NONE,SDT,QUALITATIVE,CONTRACEPTION,COMMUNITY,no,"S4 screen, rubric rules 1-7; cell CONTEXT_STIGMA_MEASURE."
W4361279773,2,S4_FERT_NODESIGN,exhaustive,CONTEXT_STIGMA_MEASURE,NONE,NONE,SDT,QUALITATIVE,ABORTION,COMMUNITY,no,"S4 screen, rubric rules 1-7; cell CONTEXT_STIGMA_MEASURE."
W4322773487,2,S4_FERT_NODESIGN,exhaustive,CONTEXT_STIGMA_MEASURE,NONE,NONE,SDT,QUALITATIVE,ABORTION,COMMUNITY,no,"Near-duplicate of position 139, different study site."
W7164806855,2,S4_FERT_NODESIGN,exhaustive,CONTEXT_STIGMA_MEASURE,NONE,NONE,SDT,QUALITATIVE,ABORTION,COMMUNITY,no,"S4 screen, rubric rules 1-7; cell CONTEXT_STIGMA_MEASURE."
W7170082476,2,S4_FERT_NODESIGN,exhaustive,CONTEXT_STIGMA_MEASURE,NONE,NONE,SDT,QUALITATIVE,FAMILY_PLANNING,COMMUNITY,no,"S4 screen, rubric rules 1-7; cell CONTEXT_STIGMA_MEASURE."
W1581615122,2,S4_FERT_NODESIGN,exhaustive,LINK_NORM_USE,USE,NONE,SDT,OLS_ADJUSTED,CONTRACEPTION,COMMUNITY,no,"S4 screen, rubric rules 1-7; cell LINK_NORM_USE."
W4417191722,2,S4_FERT_NODESIGN,exhaustive,MIXED_NORM_SUPPLY,USE,NONE,SDT,DESCRIPTIVE,FAMILY_PLANNING,COMMUNITY,no,"S4 screen, rubric rules 1-7; cell MIXED_NORM_SUPPLY."
W2262533907,2,S4_FERT_NODESIGN,exhaustive,CONTEXT_STIGMA_MEASURE,NONE,NONE,SDT,QUALITATIVE,FAMILY_PLANNING,COMMUNITY,no,"S4 screen, rubric rules 1-7; cell CONTEXT_STIGMA_MEASURE."
W4404376734,2,S4_FERT_NODESIGN,exhaustive,OFF_OTHER,NONE,NONE,SDT,DESCRIPTIVE,CONTRACEPTION,COMMUNITY,no,Proximate determinants; A.13/A.14.
W163406078,2,S4_FERT_NODESIGN,exhaustive,CONTEXT_STIGMA_MEASURE,NONE,NONE,SDT,DESCRIPTIVE,CONTRACEPTION,COMMUNITY,no,"S4 screen, rubric rules 1-7; cell CONTEXT_STIGMA_MEASURE."
W787599323,2,S4_FERT_NODESIGN,exhaustive,CONTEXT_STIGMA_MEASURE,NONE,NONE,SDT,QUALITATIVE,CONTRACEPTION,COMMUNITY,no,"S4 screen, rubric rules 1-7; cell CONTEXT_STIGMA_MEASURE."
W4220748935,2,S4_FERT_NODESIGN,exhaustive,LINK_NORM_USE,USE,NONE,SDT,OLS_ADJUSTED,CONTRACEPTION,COMMUNITY,no,"S4 screen, rubric rules 1-7; cell LINK_NORM_USE."
W617349545,2,S4_FERT_NODESIGN,exhaustive,CONTEXT_STIGMA_MEASURE,NONE,NONE,SDT,QUALITATIVE,CONTRACEPTION,COMMUNITY,no,"S4 screen, rubric rules 1-7; cell CONTEXT_STIGMA_MEASURE."
W2908089093,2,S4_FERT_NODESIGN,exhaustive,MIXED_NORM_SUPPLY,USE,NONE,SDT,DESCRIPTIVE,FAMILY_PLANNING,COMMUNITY,no,"S4 screen, rubric rules 1-7; cell MIXED_NORM_SUPPLY."
W2944434508,2,S4_FERT_NODESIGN,exhaustive,LINK_NORM_USE,USE,NONE,SDT,OLS_ADJUSTED,CONTRACEPTION,COMMUNITY,no,"Contraceptive non-use during a fertility stall; the stall is context, the outcome is use."
W1968910820,3,C3_FERT_NODESIGN,exhaustive,PRIMARY_NORM_FERTILITY,REALIZED,DERIVABLE,FDT,OLS_ADJUSTED,MIXED,COMMUNITY,yes,"FULL TEXT READ (4,950 words, library proxy batch 2). Kelly and Cutright, Sociological Focus 16(2) 1983. THE FIRST AND ONLY PRIMARY_NORM_FERTILITY RECORD IN THE CHAPTER, and it passes every gate as the PI ruled them. Exposure: the authors state they include 'a measure of NORMATIVE PRESSURE to legitimate by marriage births that are conceived out of wedlock', dosed separately from sexual activity, birth control practice and women's status, with metric and beta coefficients by age group; admissible under call 7(a). Outcome: AGE-SPECIFIC ILLEGITIMACY RATES per 1,000 unmarried women - a subpopulation fertility rate, CONVERTIBLE under call 8's test unlike a ratio. Design: multivariate regression on annual change 1911-1974, significant at all ages except teenagers. CONTESTABLE AND FLAGGED: the norm measured is pressure to MARRY when a conception occurs, so its coefficient may describe whether a birth is classified marital or nonmarital rather than whether it occurs - a recomposition wearing a convertible unit. Call 8's distinction reappearing one level down, and the single most important open question in the chapter."
W7124168863,3,C3_FERT_NODESIGN,exhaustive,OFF_COMPOSITION,NONE,NONE,SDT,OLS_ADJUSTED,MIXED,COMMUNITY,no,"FULL TEXT READ (5,431 words). Xu, JSSR 2026, NLSY97 1997-2019/20. Fails call 8's convertibility test on the outcome: a discrete-time event history with marriage, cohabitation and a nonunion birth as COMPETING HAZARDS to be the first family-forming event, by multinomial logit. The outcome is which event comes first and how early - the composition and sequencing of union formation, not the level of fertility - and no conversion to a fertility rate exists. Routed to the new OFF_COMPOSITION cell rather than OFF_OTHER so it stays visible for D.2.b or A.7, whose question it answers."
