openalex,doi,year,title,venue,stratum,cell,arm,screened_by,screened_on,note
W105936629,10.1111/deve.12111,2016,"Adult Mortality, AIDS, and Fertility in Rural Malawi",The Developing Economies,both_channels,OFF_OTHER_read_not_routed,,Shravan/Claude,2026-09-01,read at title/abstract; no C.3.e estimand
W2568956459,10.3386/w23000,2016,Growth and Childbearing in the Short- and Long-Run,National Bureau of Economic Research,both_channels,OFF_OTHER_read_not_routed,,Shravan/Claude,2026-09-01,read at title/abstract; no C.3.e estimand
W2290568467,10.2139/ssrn.2736952,2016,Family Planning Program Effects: A Review of Evidence from Microdata,SSRN Electronic Journal,snowball_r2_only,OFF_OTHER_read_not_routed,,Shravan/Claude,2026-09-01,read at title/abstract; no C.3.e estimand
W2301852053,10.1007/s13132-015-0348-2,2016,Can Microfinance Help to Reduce Poverty? A Review of Evidence for Developing Countries,Journal of the Knowledge Economy,snowball_r2_only,OFF_OTHER_read_not_routed,,Shravan/Claude,2026-09-01,read at title/abstract; no C.3.e estimand
W2338305004,10.1080/17441730.2016.1142796,2016,The effects of setting up a National Family Planning Program in local communities on women's contraceptive experiences and fertility in rural Thailand,Asian Population Studies,snowball_r2_only,OFF_OTHER_read_not_routed,,Shravan/Claude,2026-09-01,read at title/abstract; no C.3.e estimand
W2340959483,10.1111/j.1728-4457.2016.00109.x,2016,Family Planning Program Effects: Evidence from Microdata,Population and Development Review,snowball_r2_only,OFF_OTHER_read_not_routed,,Shravan/Claude,2026-09-01,read at title/abstract; no C.3.e estimand
W2478665775,10.1002/9781119104490.ch5,2016,Research Questions and Methods,,snowball_r2_only,OFF_OTHER_read_not_routed,,Shravan/Claude,2026-09-01,read at title/abstract; no C.3.e estimand
W2520374222,10.1177/1077801216665480,2016,Microfinance Participation and Marital Violence in Bangladesh: A Qualitative Inquiry,Violence Against Women,snowball_r2_only,OFF_OTHER_read_not_routed,,Shravan/Claude,2026-09-01,read at title/abstract; no C.3.e estimand
W2530848521,10.1016/s0140-6736(16)31405-2,2016,The effects of China's universal two-child policy,The Lancet,snowball_r2_only,OFF_OTHER_read_not_routed,,Shravan/Claude,2026-09-01,read at title/abstract; no C.3.e estimand
W2580912023,10.1093/heapol/czw170,2016,Evaluating the effect of integrated microfinance and health interventions: an updated review of the evidence,Health Policy and Planning,snowball_r2_only,OFF_OTHER_read_not_routed,,Shravan/Claude,2026-09-01,read at title/abstract; no C.3.e estimand
W2582400253,,2016,The role of female community health volunteers in maternal health service provision in Nepal : a qualitative study,"White Rose eTheses Online (University of Leeds, The University of Sheffield, University of York)",snowball_r2_only,OFF_OTHER_read_not_routed,,Shravan/Claude,2026-09-01,read at title/abstract; no C.3.e estimand
W2765805737,10.2139/ssrn.3054888,2016,Lifecycle Fertility and the Impact of Family Planning Programs: Evidence from Southern Africa,SSRN Electronic Journal,snowball_r2_only,OFF_OTHER_read_not_routed,,Shravan/Claude,2026-09-01,read at title/abstract; no C.3.e estimand
W2918156748,10.23846/sr51253usaid,2016,"Parental, community and familial support for children’s literacy in developing countries",,snowball_r2_only,OFF_OTHER_read_not_routed,,Shravan/Claude,2026-09-01,read at title/abstract; no C.3.e estimand
W850379250,10.1080/00220388.2016.1208178,2016,Bride Price and Fertility Decisions: Evidence from Rural Senegal,The Journal of Development Studies,snowball_r2_only,OFF_OTHER_read_not_routed,,Shravan/Claude,2026-09-01,read at title/abstract; no C.3.e estimand
W2038868457,10.1111/joca.12056,2015,A Balance Sheet Perspective on Financial Success: Why Starting Early Matters,Journal of Consumer Affairs,both_channels,OFF_OTHER_read_not_routed,,Shravan/Claude,2026-09-01,read at title/abstract; no C.3.e estimand
W4230356224,10.2139/ssrn.2699516,2015,Explaining Income Inequality and Intergenerational Mobility: The Role of Fertility and Family Transfers,SSRN Electronic Journal,both_channels,OFF_OTHER_read_not_routed,,Shravan/Claude,2026-09-01,read at title/abstract; no C.3.e estimand
W1126290362,10.1007/978-1-4939-2525-4_8,2015,Microfinance Institutions and Human Security in Muslim Majority Countries: Achievements and Challenges,Nonprofit and civil society studies,snowball_r2_only,OFF_OTHER_read_not_routed,,Shravan/Claude,2026-09-01,read at title/abstract; no C.3.e estimand
W1490416086,10.1002/jid.3130,2015,How Does Microcredit Lead to Empowerment? A Case Study of the Vinya wa Aka Group in Kenya,Journal of International Development,snowball_r2_only,OFF_OTHER_read_not_routed,,Shravan/Claude,2026-09-01,read at title/abstract; no C.3.e estimand
W1867491469,10.1111/j.1728-4465.2015.00028.x,2015,Community Health Workers’ Provision of Family Planning Services in Low‐ and Middle‐Income Countries: A Systematic Review of Effectiveness,Studies in Family Planning,snowball_r2_only,OFF_OTHER_read_not_routed,,Shravan/Claude,2026-09-01,read at title/abstract; no C.3.e estimand
W2505944370,10.4018/978-1-4666-8611-3.ch003,2015,Impact of Microfinance on Female Empowerment,"Advances in finance, accounting, and economics book series",snowball_r2_only,OFF_OTHER_read_not_routed,,Shravan/Claude,2026-09-01,read at title/abstract; no C.3.e estimand
W2613315161,,2015,The role of the health system in women's utilisation of maternal health services in Sudan,City Research Online (City University London),snowball_r2_only,OFF_OTHER_read_not_routed,,Shravan/Claude,2026-09-01,read at title/abstract; no C.3.e estimand
W2759154725,,2015,On a New Path: Microfinance as a Tool to Help Bedouin Women Extricate Themselves from Poverty in Israel,,snowball_r2_only,OFF_OTHER_read_not_routed,,Shravan/Claude,2026-09-01,read at title/abstract; no C.3.e estimand
W2765017098,,2015,World Rural Observations,ADVANCED SCIENCES INDEX,snowball_r2_only,OFF_OTHER_read_not_routed,,Shravan/Claude,2026-09-01,read at title/abstract; no C.3.e estimand
W2889867596,10.1016/b978-0-08-097086-8.31036-4,2015,Family Planning: Program Effects,Elsevier eBooks,snowball_r2_only,OFF_OTHER_read_not_routed,,Shravan/Claude,2026-09-01,read at title/abstract; no C.3.e estimand
W2006866709,10.1016/j.jeoa.2014.09.009,2014,Intergenerational co-residence and schooling,The Journal of the Economics of Ageing,both_channels,OFF_OTHER_read_not_routed,,Shravan/Claude,2026-09-01,read at title/abstract; no C.3.e estimand
W1630368805,10.1596/20663,2014,"Population, Family Planning and Reproductive Health Policy Harmonization in Bangladesh","World Bank, Washington, DC eBooks",snowball_r2_only,OFF_OTHER_read_not_routed,,Shravan/Claude,2026-09-01,read at title/abstract; no C.3.e estimand
W2099035145,10.1016/j.socscimed.2014.06.014,2014,Women's empowerment and fertility: A review of the literature,Social Science & Medicine,snowball_r2_only,OFF_OTHER_read_not_routed,,Shravan/Claude,2026-09-01,read at title/abstract; no C.3.e estimand
W3121218829,10.2139/ssrn.2509934,2014,Does Timing of Health and Family Planning Services Matter? - Age at First Birth and Educational Attainment in Indonesia,SSRN Electronic Journal,snowball_r2_only,OFF_OTHER_read_not_routed,,Shravan/Claude,2026-09-01,read at title/abstract; no C.3.e estimand
W582165054,10.83049/unicatt/publicatt/10280_2913,2014,"MICROFINANCE AND WOMEN: FINANCIAL PERFORMANCE, OUTREACH AND EMPOWERMENT",Open MIND,snowball_r2_only,OFF_OTHER_read_not_routed,,Shravan/Claude,2026-09-01,read at title/abstract; no C.3.e estimand
W59027840,,2014,Contraceptive Access and Fertility: The Impact of Supply-Side Interventions,,snowball_r2_only,OFF_OTHER_read_not_routed,,Shravan/Claude,2026-09-01,read at title/abstract; no C.3.e estimand
W150914982,,2013,Closing the deadly gap between what we know and what we do,,snowball_r2_only,OFF_OTHER_read_not_routed,,Shravan/Claude,2026-09-01,read at title/abstract; no C.3.e estimand
W1544303446,10.4471/generos.2013.22,2013,Women Empowerment through Microcredit: Rhetoric or Reality? An evidence from Bangladesh,Multidisciplinary Journal of Gender Studies,snowball_r2_only,OFF_OTHER_read_not_routed,,Shravan/Claude,2026-09-01,read at title/abstract; no C.3.e estimand
W2014942510,10.1080/01488376.2013.816409,2013,Assessing the Participation of Women in Microfinance Institutions: Evidence From a Multinational Study,Journal of Social Service Research,snowball_r2_only,OFF_OTHER_read_not_routed,,Shravan/Claude,2026-09-01,read at title/abstract; no C.3.e estimand
W2024004380,10.1371/journal.pone.0068794,2013,"Meeting Rural Demand: A Case for Combining Community-Based Distribution and Social Marketing of Injectable Contraceptives in Tigray, Ethiopia",PLoS ONE,snowball_r2_only,OFF_OTHER_read_not_routed,,Shravan/Claude,2026-09-01,read at title/abstract; no C.3.e estimand
W2027257474,10.1016/j.worlddev.2012.11.002,2013,Financial Inclusion and Financial Integrity: Aligned Incentives?,World Development,snowball_r2_only,OFF_OTHER_read_not_routed,,Shravan/Claude,2026-09-01,read at title/abstract; no C.3.e estimand
W2029568511,10.1080/17441692.2012.762032,2013,A delicate web: Household changes in health behaviour enabled by microcredit in Burkina Faso,Global Public Health,snowball_r2_only,OFF_OTHER_read_not_routed,,Shravan/Claude,2026-09-01,read at title/abstract; no C.3.e estimand
W2104167547,10.4054/demres.2013.29.8,2013,Fertility intentions,Demographic Research,snowball_r2_only,OFF_OTHER_read_not_routed,,Shravan/Claude,2026-09-01,read at title/abstract; no C.3.e estimand
W2127403861,10.1111/j.1728-4465.2013.00356.x,2013,Perceived Decline in Intimate Partner Violence Against Women in Bangladesh: Qualitative Evidence,Studies in Family Planning,snowball_r2_only,OFF_OTHER_read_not_routed,,Shravan/Claude,2026-09-01,read at title/abstract; no C.3.e estimand
W2131786868,10.1186/1471-2458-13-372,2013,Determinants of better health: a cross-sectional assessment of positive deviants among women in West Bengal,BMC Public Health,snowball_r2_only,OFF_OTHER_read_not_routed,,Shravan/Claude,2026-09-01,read at title/abstract; no C.3.e estimand
W2403359882,,2013,Assessing relationship between rural women empowerment and employment,,snowball_r2_only,OFF_OTHER_read_not_routed,,Shravan/Claude,2026-09-01,read at title/abstract; no C.3.e estimand
W3094329544,,2013,Empowering Women through Microfinance: Evidence from Tanzania,,snowball_r2_only,OFF_OTHER_read_not_routed,,Shravan/Claude,2026-09-01,read at title/abstract; no C.3.e estimand
W1566844580,10.1002/jid.2815,2012,"SELF‐HELP GROUPS AND EMPOWERMENT OF WOMEN: SELF‐SELECTION, OR ACTUAL BENEFITS?",Journal of International Development,snowball_r2_only,OFF_OTHER_read_not_routed,,Shravan/Claude,2026-09-01,read at title/abstract; no C.3.e estimand
W1968847657,10.1007/s11113-012-9241-x,2012,Indeterminate Responses to Attitudinal Questions About Intimate Partner Violence Against Women in Rural Bangladesh,Population Research and Policy Review,snowball_r2_only,OFF_OTHER_read_not_routed,,Shravan/Claude,2026-09-01,read at title/abstract; no C.3.e estimand
W2135217156,10.5539/res.v4n1p235,2012,Welfare Implication of Foreign Aid and Domestically Funded Microfinance Programs,Review of European Studies,snowball_r2_only,OFF_OTHER_read_not_routed,,Shravan/Claude,2026-09-01,read at title/abstract; no C.3.e estimand
W2166467139,10.1177/1077801212465152,2012,Justification of Wife Beating in Rural Bangladesh,Violence Against Women,snowball_r2_only,OFF_OTHER_read_not_routed,,Shravan/Claude,2026-09-01,read at title/abstract; no C.3.e estimand
W139476958,,2011,"The Impact of Microfinance Institutions on Women Empowerment in Rajshahi, Bangladesh",UUM Electronic Theses and Dissertation [eTheses] (Northern University of Malaysia),both_channels,OFF_OTHER_read_not_routed,,Shravan/Claude,2026-09-01,read at title/abstract; no C.3.e estimand
W1560435159,,2011,"Essays on Economic Behaviour: HIV/AIDS, Schooling, and Inequality",Gothenburg University Publications Electronic Archive (Gothenburg University),both_channels,OFF_OTHER_read_not_routed,,Shravan/Claude,2026-09-01,read at title/abstract; no C.3.e estimand
W1527975890,,2011,Women Becoming Bosses: Changing Gender Roles and Decision Making in Dangme West District of Ghana,Ghana Journal of Geography,snowball_r2_only,OFF_OTHER_read_not_routed,,Shravan/Claude,2026-09-01,read at title/abstract; no C.3.e estimand
W2007935555,10.1080/0966369x.2011.572435,2011,Out of the dark but not out of the cage: women's empowerment and gender relations in the Dangme West district of Ghana,Gender Place & Culture,snowball_r2_only,OFF_OTHER_read_not_routed,,Shravan/Claude,2026-09-01,read at title/abstract; no C.3.e estimand
W2013038249,10.1080/00220388.2011.609585,2011,Can Education Subsidy Reverse Falling Fertility? The Case of Taiwan,The Journal of Development Studies,snowball_r2_only,OFF_OTHER_read_not_routed,,Shravan/Claude,2026-09-01,read at title/abstract; no C.3.e estimand
W2051892665,10.1080/14765284.2011.592352,2011,The impact of microcredit on women's empowerment: evidence from China,Journal of Chinese Economic and Business Studies,snowball_r2_only,OFF_OTHER_read_not_routed,,Shravan/Claude,2026-09-01,read at title/abstract; no C.3.e estimand
W2068685292,10.1111/j.1728-4465.2011.00261.x,2011,Justification of Intimate Partner Violence in Rural Bangladesh: What Survey Questions Fail to Capture,Studies in Family Planning,snowball_r2_only,OFF_OTHER_read_not_routed,,Shravan/Claude,2026-09-01,read at title/abstract; no C.3.e estimand
W2112767191,10.4054/demres.2011.25.27,2011,Ethnic differentials of the impact of Family Planning Program on contraceptive use in Nepal,Demographic Research,snowball_r2_only,OFF_OTHER_read_not_routed,,Shravan/Claude,2026-09-01,read at title/abstract; no C.3.e estimand
W2153706584,10.1353/hpu.2011.0133,2011,Closing the Implementation Gap in Services for Children Affected by HIV/AIDS: From Assisting Orphans and Vulnerable Children (OVC) to Providing Long-term Opportunities for Economic Growth,Journal of Health Care for the Poor and Underserved,snowball_r2_only,OFF_OTHER_read_not_routed,,Shravan/Claude,2026-09-01,read at title/abstract; no C.3.e estimand
W2186415230,,2011,Assessing Criteria of Rural Women Empowerment,,snowball_r2_only,OFF_OTHER_read_not_routed,,Shravan/Claude,2026-09-01,read at title/abstract; no C.3.e estimand
W2188033524,,2011,Rural Women's Financial Self-Reliance,,snowball_r2_only,OFF_OTHER_read_not_routed,,Shravan/Claude,2026-09-01,read at title/abstract; no C.3.e estimand
W2189087422,,2011,Importance and Necessity of micro-credit program for rural women,,snowball_r2_only,OFF_OTHER_read_not_routed,,Shravan/Claude,2026-09-01,read at title/abstract; no C.3.e estimand
W2189166301,,2011,Role of rural women in rural economy,,snowball_r2_only,OFF_OTHER_read_not_routed,,Shravan/Claude,2026-09-01,read at title/abstract; no C.3.e estimand
W2339393504,,2011,Importance of Credits for Rural Women,,snowball_r2_only,OFF_OTHER_read_not_routed,,Shravan/Claude,2026-09-01,read at title/abstract; no C.3.e estimand
W4244381401,10.1007/s13524-011-0069-5,2011,Volume 48 Index,Demography,snowball_r2_only,OFF_OTHER_read_not_routed,,Shravan/Claude,2026-09-01,read at title/abstract; no C.3.e estimand
W1998777417,10.1007/s12546-011-9055-4,2010,‘…And one for the country’ The effect of the baby bonus on Australian women’s childbearing intentions,Journal of Population Research,snowball_r2_only,OFF_OTHER_read_not_routed,,Shravan/Claude,2026-09-01,read at title/abstract; no C.3.e estimand
W2011943360,10.1086/649638,2010,Women’s Education and Fertility: An Analysis of the Relationship between Education and Birth Spacing in Indonesia,Economic Development and Cultural Change,snowball_r2_only,OFF_OTHER_read_not_routed,,Shravan/Claude,2026-09-01,read at title/abstract; no C.3.e estimand
W204037490,10.1184/r1/6685088,2010,Does it Work? The Need for and Potentials of Randomized Evaluations in Microfinance,Figshare,snowball_r2_only,OFF_OTHER_read_not_routed,,Shravan/Claude,2026-09-01,read at title/abstract; no C.3.e estimand
W2062893990,10.1111/j.1728-4457.2010.00319.x,2010,The Correspondence Between Fertility Intentions and Behavior in the United States,Population and Development Review,snowball_r2_only,OFF_OTHER_read_not_routed,,Shravan/Claude,2026-09-01,read at title/abstract; no C.3.e estimand
W2103130810,10.1257/jel.48.2.424,2010,"Instruments, Randomization, and Learning about Development",Journal of Economic Literature,snowball_r2_only,OFF_OTHER_read_not_routed,,Shravan/Claude,2026-09-01,read at title/abstract; no C.3.e estimand
W2268067810,,2010,"Socio-cultural Determinants Of Women’s Empowerment In Punjab, Pakistan",,snowball_r2_only,OFF_OTHER_read_not_routed,,Shravan/Claude,2026-09-01,read at title/abstract; no C.3.e estimand
W2566842557,10.5897/ingoj.9000052,2010,Fertility decline and womens status- the role of non-government organizations (NGOs) in Bangladesh: A micro data analysis,International NGO Journal,snowball_r2_only,OFF_OTHER_read_not_routed,,Shravan/Claude,2026-09-01,read at title/abstract; no C.3.e estimand
W3125417968,10.3386/w16018,2010,Building Social Capital Through MicroFinance,National Bureau of Economic Research,snowball_r2_only,OFF_OTHER_read_not_routed,,Shravan/Claude,2026-09-01,read at title/abstract; no C.3.e estimand
W2065250936,10.1016/j.jdeveco.2009.03.006,2009,Fatal fluctuations? Cyclicality in infant mortality in India,Journal of Development Economics,both_channels,OFF_OTHER_read_not_routed,,Shravan/Claude,2026-09-01,read at title/abstract; no C.3.e estimand
W1994322174,10.1353/jhr.2009.0031,2009,Testing the External Effect of Household Behavior: The Case of the Demand for Children,The Journal of Human Resources,snowball_r2_only,OFF_OTHER_read_not_routed,,Shravan/Claude,2026-09-01,read at title/abstract; no C.3.e estimand
W2010855089,10.2139/ssrn.1396122,2009,Great Expectations: Microfinance and Poverty Reduction in Asia and Latin America,SSRN Electronic Journal,snowball_r2_only,OFF_OTHER_read_not_routed,,Shravan/Claude,2026-09-01,read at title/abstract; no C.3.e estimand
W3123520422,,2009,"Instruments of Development: Randomization in the Tropics, and the Search for the Elusive Keys to Economic Development",RePEc: Research Papers in Economics,snowball_r2_only,OFF_OTHER_read_not_routed,,Shravan/Claude,2026-09-01,read at title/abstract; no C.3.e estimand
W2070063133,10.1111/j.1728-4465.2008.00150.x,2008,Women's Acceptance of Intimate Partner Violence within Marriage in Rural Bangladesh,Studies in Family Planning,snowball_r2_only,OFF_OTHER_read_not_routed,,Shravan/Claude,2026-09-01,read at title/abstract; no C.3.e estimand
W2138752415,10.1920/wp.cem.2008.2608,2008,Alternative approaches to evaluation in empirical microeconomics,,snowball_r2_only,OFF_OTHER_read_not_routed,,Shravan/Claude,2026-09-01,read at title/abstract; no C.3.e estimand
W2185141671,,2008,Expanding Access to Services and Protecting Human Rights,,snowball_r2_only,OFF_OTHER_read_not_routed,,Shravan/Claude,2026-09-01,read at title/abstract; no C.3.e estimand
W2070007621,10.1353/dem.2007.0047,2007,The impact of childhood mortality on Fertility in six rural Thanas of Bangladesh,Demography,both_channels,OFF_OTHER_read_not_routed,,Shravan/Claude,2026-09-01,read at title/abstract; no C.3.e estimand
W2215741775,,2007,"Essays on intrahousehold allocation and the family: Fertility, child education, and nutrition",ScholarWorks - WMU (Western Michigan University),both_channels,OFF_OTHER_read_not_routed,,Shravan/Claude,2026-09-01,read at title/abstract; no C.3.e estimand
W1547506455,10.1177/1536867x0800700402,2007,Enhanced Routines for Instrumental Variables/Generalized Method of Moments Estimation and Testing,The Stata Journal Promoting communications on statistics and Stata,snowball_r2_only,OFF_OTHER_read_not_routed,,Shravan/Claude,2026-09-01,read at title/abstract; no C.3.e estimand
W1974989013,10.1111/j.1468-0297.2007.02017.x,2007,Financial performance and Outreach: A Global Analysis of Leading Microbanks,The Economic Journal,snowball_r2_only,OFF_OTHER_read_not_routed,,Shravan/Claude,2026-09-01,read at title/abstract; no C.3.e estimand
W2148472246,10.1016/j.aam.2006.12.003,2007,On regression adjustments to experimental data,Advances in Applied Mathematics,snowball_r2_only,OFF_OTHER_read_not_routed,,Shravan/Claude,2026-09-01,read at title/abstract; no C.3.e estimand
W2291400316,10.2139/ssrn.1014646,2007,Prying into the Shadows: A General Equilibrium Model to Analyze the Effects of the Emerging Institutions on the Structure of Production and Welfare in Developing Countries,SSRN Electronic Journal,snowball_r2_only,OFF_OTHER_read_not_routed,,Shravan/Claude,2026-09-01,read at title/abstract; no C.3.e estimand
W3024833799,10.1016/j.jdeveco.2007.10.003,2007,Does female schooling reduce fertility? Evidence from Nigeria,Journal of Development Economics,snowball_r2_only,OFF_OTHER_read_not_routed,,Shravan/Claude,2026-09-01,read at title/abstract; no C.3.e estimand
W3124058059,,2007,"Family Planning as an Investment in Development: Evaluation of a Program’s Consequences in Matlab, Bangladesh",RePEc: Research Papers in Economics,snowball_r2_only,OFF_OTHER_read_not_routed,,Shravan/Claude,2026-09-01,read at title/abstract; no C.3.e estimand
W1969204385,10.2471/blt.06.030064,2006,Accelerating reproductive and child health programme impact with community-based services: the Navrongo experiment in Ghana,Bulletin of the World Health Organization,snowball_r2_only,OFF_OTHER_read_not_routed,,Shravan/Claude,2026-09-01,read at title/abstract; no C.3.e estimand
W2165611738,10.1257/aer.96.5.1384,2006,Assessing the Impact of a School Subsidy Program in Mexico: Using a Social Experiment to Validate a Dynamic Behavioral Model of Child Schooling and Fertility,American Economic Review,snowball_r2_only,OFF_OTHER_read_not_routed,,Shravan/Claude,2026-09-01,read at title/abstract; no C.3.e estimand
W3123968295,10.2139/ssrn.951841,2006,Using Randomization in Development Economics Research: A Toolkit,SSRN Electronic Journal,snowball_r2_only,OFF_OTHER_read_not_routed,,Shravan/Claude,2026-09-01,read at title/abstract; no C.3.e estimand
W2021231170,10.1007/s10680-005-6856-1,2005,Child Survival and Fertility of Refugees in Rwanda,European Journal of Population / Revue européenne de Démographie,both_channels,OFF_OTHER_read_not_routed,,Shravan/Claude,2026-09-01,read at title/abstract; no C.3.e estimand
W1967617716,10.1007/s00148-005-0226-5,2005,The determinants of fertility in rural Peru: Program effects in the early years of the national family planning program,Journal of Population Economics,snowball_r2_only,OFF_OTHER_read_not_routed,,Shravan/Claude,2026-09-01,read at title/abstract; no C.3.e estimand
W2074410968,10.1086/431261,2005,The Effects of Education and Family Planning Programs on Fertility in Indonesia,Economic Development and Cultural Change,snowball_r2_only,OFF_OTHER_read_not_routed,,Shravan/Claude,2026-09-01,read at title/abstract; no C.3.e estimand
W2090951478,10.1111/j.0012-155x.2005.00413.x,2005,Women's Employment in Urban Bangladesh: A Challenge to Gender Identity?,Development and Change,snowball_r2_only,OFF_OTHER_read_not_routed,,Shravan/Claude,2026-09-01,read at title/abstract; no C.3.e estimand
W2358983334,,2005,"Women Empowerment Performance of Income Generating Activities Supported by Rural Women Employment Creation Project (RWECP): A Case Study in Dumuria Thana, Bangladesh",,snowball_r2_only,OFF_OTHER_read_not_routed,,Shravan/Claude,2026-09-01,read at title/abstract; no C.3.e estimand
W3022774728,10.1016/j.jeconom.2005.02.011,2005,Generalized reduced rank tests using the singular value decomposition,Journal of Econometrics,snowball_r2_only,OFF_OTHER_read_not_routed,,Shravan/Claude,2026-09-01,read at title/abstract; no C.3.e estimand
W3121900324,10.1093/wber/lhi008,2005,Microfinance and Poverty: Evidence Using Panel Data from Bangladesh,The World Bank Economic Review,snowball_r2_only,OFF_OTHER_read_not_routed,,Shravan/Claude,2026-09-01,read at title/abstract; no C.3.e estimand
W1584748175,10.1596/13791,2004,Overcoming Barriers to Health Service Access and Influencing the Demand Side Through Purchasing,"World Bank, Washington, DC eBooks",snowball_r2_only,OFF_OTHER_read_not_routed,,Shravan/Claude,2026-09-01,read at title/abstract; no C.3.e estimand
W2067508372,10.1111/j.0039-3665.2004.00030.x,2004,"Communities, Opportunities, and Adolescents’ Sexual Behavior in KwaZulu‐Natal, South Africa",Studies in Family Planning,snowball_r2_only,OFF_OTHER_read_not_routed,,Shravan/Claude,2026-09-01,read at title/abstract; no C.3.e estimand
W1996813794,10.1111/1467-7660.00320,2003,Actually how Empowering is Microcredit?,Development and Change,snowball_r2_only,OFF_OTHER_read_not_routed,,Shravan/Claude,2026-09-01,read at title/abstract; no C.3.e estimand
W2067618881,10.1086/375519,2003,Schooling Opportunities for Girls as a Stimulus for Fertility Change in Rural Pakistan,Economic Development and Cultural Change,snowball_r2_only,OFF_OTHER_read_not_routed,,Shravan/Claude,2026-09-01,read at title/abstract; no C.3.e estimand
W2114596136,10.1177/02685809030183002,2003,Recasting Our Understanding of Gender and Work During Global Restructuring,International Sociology,snowball_r2_only,OFF_OTHER_read_not_routed,,Shravan/Claude,2026-09-01,read at title/abstract; no C.3.e estimand
W4205156204,10.1542/peds.110.s3.1301,2002,Introduction,PEDIATRICS,both_channels,OFF_OTHER_read_not_routed,,Shravan/Claude,2026-09-01,read at title/abstract; no C.3.e estimand
W1533315389,10.1023/a:1020030616075,2002,Women's lives and rapid fertility decline: Some lessons from Bangladesh and Egypt,Population Research and Policy Review,snowball_r2_only,OFF_OTHER_read_not_routed,,Shravan/Claude,2026-09-01,read at title/abstract; no C.3.e estimand
W2024993879,10.1353/dem.2002.0014,2002,Spatial variation in contraceptive use in Bangladesh: Looking Beyond the borders,Demography,snowball_r2_only,OFF_OTHER_read_not_routed,,Shravan/Claude,2026-09-01,read at title/abstract; no C.3.e estimand
W2041688420,10.1177/109821400202300214,2002,"Book Review: Transparency, Stakeholder Involvement, and Explanation in Contemporary Evaluation: A Review Essay Stimulated by “Success in Early Intervention: The Chicago Child-Parent Centers”",American Journal of Evaluation,snowball_r2_only,OFF_OTHER_read_not_routed,,Shravan/Claude,2026-09-01,read at title/abstract; no C.3.e estimand
W2087897636,10.1016/s1098-2140(02)00172-8,2002,"Transparency, Stakeholder Involvement, and Explanation in Contemporary Evaluation: A Review Essay Stimulated by “Success in Early Intervention: The Chicago Child–Parent Centers”, edited by Arthur J. Reynolds, University of Nebraska Press, 2000, 261 pp.",American Journal of Evaluation,snowball_r2_only,OFF_OTHER_read_not_routed,,Shravan/Claude,2026-09-01,read at title/abstract; no C.3.e estimand
W2110153620,10.3386/t0284,2002,Testing for Weak Instruments in Linear IV Regression,National Bureau of Economic Research,snowball_r2_only,OFF_OTHER_read_not_routed,,Shravan/Claude,2026-09-01,read at title/abstract; no C.3.e estimand
W2134388821,10.1111/j.1728-4465.2002.00141.x,2002,"The Impact of the Navrongo Project on Contraceptive Knowledge and Use, Reproductive Preferences, and Fertility",Studies in Family Planning,snowball_r2_only,OFF_OTHER_read_not_routed,,Shravan/Claude,2026-09-01,read at title/abstract; no C.3.e estimand
W2166482828,10.1016/s0277-9536(01)00020-x,2002,The decline of female circumcision in Egypt: evidence and interpretation,Social Science & Medicine,snowball_r2_only,OFF_OTHER_read_not_routed,,Shravan/Claude,2026-09-01,read at title/abstract; no C.3.e estimand
W2184152115,10.31899/pgy6.1061,2002,How community structures of time and opportunity shape adolescent sexual behavior in South Africa,,snowball_r2_only,OFF_OTHER_read_not_routed,,Shravan/Claude,2026-09-01,read at title/abstract; no C.3.e estimand
W2096833676,10.1525/aa.2001.103.4.1096,2001,"Demographic Dimensions of an Intervillage Land Dispute in Nubri, Nepal",American Anthropologist,both_channels,OFF_OTHER_read_not_routed,,Shravan/Claude,2026-09-01,read at title/abstract; no C.3.e estimand
W3125059900,,2001,CONSUMPTION AND SAVING OVER THE LIFE CYCLE: HOW IMPORTANT ARE CONSUMER DURABLES?,,both_channels,OFF_OTHER_read_not_routed,,Shravan/Claude,2026-09-01,read at title/abstract; no C.3.e estimand
W1410799678,,2001,Is there a case for privatising reproductive health? Patchy evidence and much wishful thinking,,snowball_r2_only,OFF_OTHER_read_not_routed,,Shravan/Claude,2026-09-01,read at title/abstract; no C.3.e estimand
W1567585726,,2001,Safe motherhood strategies: a review of the evidence,,snowball_r2_only,OFF_OTHER_read_not_routed,,Shravan/Claude,2026-09-01,read at title/abstract; no C.3.e estimand
W2018424948,10.1016/s1081-602x(01)00073-2,2001,"“We are family”: Gender, microenterprise, family work, and well-being in Ecuador and the Dominican Republic — with comparative data from Guatemala, Swaziland, and Guinea-Bissau",The History of the Family,snowball_r2_only,OFF_OTHER_read_not_routed,,Shravan/Claude,2026-09-01,read at title/abstract; no C.3.e estimand
W2020653457,10.1080/00220380412331322181,2001,"Ideas, Economics and 'the Sociology of Supply': Explanations for Fertility Decline in Bangladesh",The Journal of Development Studies,snowball_r2_only,OFF_OTHER_read_not_routed,,Shravan/Claude,2026-09-01,read at title/abstract; no C.3.e estimand
W2124758339,,2001,Econometric Analysis of Cross Section and Panel Data,RePEc: Research Papers in Economics,snowball_r2_only,OFF_OTHER_read_not_routed,,Shravan/Claude,2026-09-01,read at title/abstract; no C.3.e estimand
