openalex_id,doi,job,chemical_family,oa_status,host,result,note,title
W4406939348,10.1055/s-0044-1801388,B_held,unclear,closed,,FAILED,europepmc:epmc hit but not OA (pmcid=none),Endocrine-Disrupting Chemicals and Female Reproductive Aging
W4412521228,10.1016/j.reprotox.2025.109002,B_held,plastic,hybrid,Reproductive Toxicology,FAILED,europepmc:epmc hit but not OA (pmcid=none),Unravelling the potential mechanisms of nano- and microplastic toxicity to the male reprod
W4407164619,10.1055/s-0044-1801405,B_held,unclear,closed,,FAILED,europepmc:epmc hit but not OA (pmcid=PMC12161124),Environmental Exposures and Polycystic Ovary Syndrome: A Review
W4401375383,10.3389/frph.2024.1394099,B_held,unclear,gold,Frontiers in Reproductive Health,OK/OK,"europepmc:Europe PMC PMC11333305, 55 KB text",Drinking water quality impacts oocyte viability and embryo development
W4404640241,10.17749/2313-7347/ob.gyn.rep.2024.564,B_held,unclear,gold,Obstetrics Gynecology and Reproduction,OK/OK,"Obstetrics Gynecology :http 200, 3390 KB; text: 139 KB text",The influence of environmental factors on woman's reproductive health
W571742238,10.1016/b978-0-12-804239-7.00043-3,B_held,pfas,closed,,FAILED,europepmc:not in Europe PMC,Perfluorooctane Sulfonate and Perfluorooctanoic Acid
W4414070975,10.31083/ceog39882,B_held,unclear,gold,Clinical and Experimental Obstetrics & Gynecology,OK/OK,"Clinical and Experimen:http 200, 320 KB; text: 85 KB text",Environmental Chemicals and Female Reproductive Health: Unraveling Mechanisms and Societal
W7130431531,10.3389/fmed.2026.1770866,B_held,unclear,gold,Frontiers in Medicine,OK/OK,"Frontiers in Medicine:http 200, 1451 KB; text: 119 KB text",Environmental determinants of male infertility: emerging threats and technological interve
W4399295872,10.3389/fcell.2024.1335028,B_held,unclear,gold,Frontiers in Cell and Developmental Biology,OK/OK,"Frontiers in Cell and :http 200, 868 KB; text: 30 KB text",Reproductive toxicology of environmental endocrine-disrupting chemicals in women: a cohort
W4404597180,10.3390/ijerph21121541,B_held,unclear,gold,International Journal of Environmental Research and Public Health,OK/OK,"PubMed Central:http 200, body too small; europepmc:Europe PMC PMC11675402, 77 KB text",Exposure to Environmental Chemicals and Infertility Among US Reproductive-Aged Women
W4409386614,10.1111/andr.70039,B_held,unclear,hybrid,Andrology,OK/OK,"Andrology:http 403, not a PDF (publisher interstitial or paywall page); europepmc:Europe PMC PMC12670469, 73 KB text",Fetal exposure to a mixture of endocrine‐disrupting chemicals and biomarkers of male fecun
W7127605826,10.1016/j.reprotox.2026.109181,B_held,plastic,hybrid,Reproductive Toxicology,FAILED,europepmc:epmc hit but not OA (pmcid=none),Uptake of polystyrene nanoplastics by cumulus-oocyte complexes impairs oocyte and embryo d
W4416427954,10.1016/j.envpol.2025.127413,B_held,both,closed,,FAILED,europepmc:epmc hit but not OA (pmcid=none),"Current insights into the impact of plastic-derived pollutants (phthalates), microplastics"
W4416378066,10.1093/exposome/osaf014,B_held,unclear,hybrid,Exposome,FAILED,"Exposome:http 403, not a PDF (publisher interstitial or paywall page); europepmc:not in Europe PMC",Multi-matrix chemical exposome characterization and its association with semen quality
W4413890485,10.1080/19396368.2025.2545248,B_held,plastic,closed,,FAILED,europepmc:epmc hit but not OA (pmcid=none),Perilous effects of polystyrene fragments on male reproductive system and tenable directiv
W4411807535,10.3389/fpubh.2025.1608861,B_held,unclear,gold,Frontiers in Public Health,OK/OK,"Frontiers in Public He:http 200, 306 KB; text: 41 KB text",Association between endocrine disrupting chemicals and female infertility: a study based o
W4388578109,10.1007/978-3-031-36494-5_7,B_held,unclear,gold,,FAILED,"publisher:http 200, not a PDF (publisher interstitial or paywall page); europepmc:not in Europe PMC",Endocrine Disruption in the Male
W7155353192,10.1038/s44454-026-00032-6,B_held,unclear,diamond,npj Emerging Contaminants,OK/OK,"npj Emerging Contamina:http 200, 1153 KB; text: 90 KB text","Impacts of environmental stressors on fertility and fecundity across taxa, with implicatio"
W4393238819,10.59400/jts.v2i1.443,B_held,plastic,diamond,Journal of Toxicological Studies,OK/OK,"Journal of Toxicologic:http 200, 930 KB; text: 38 KB text",Threats of nano/microplastics to reproduction and offspring: Potential mechanisms and pers
W7128503613,10.1093/biolre/ioag036,B_held,plastic,closed,,FAILED,europepmc:epmc hit but not OA (pmcid=none),Impact of nanoparticles and nanoplastics on female reproductive health
W4411053503,10.1097/rd9.0000000000000137,B_held,pfas,diamond,Reproductive and Developmental Medicine,FAILED,europepmc:not in Europe PMC,The effect of perfluorooctanoic acid on ovarian progesterone production and endometrial re
W7165908260,10.1016/j.reprotox.2026.109298,B_held,both,hybrid,Reproductive Toxicology,FAILED,europepmc:epmc hit but not OA (pmcid=none),Microplastics as trojan horses: A new perspective on bisphenol toxicity in male infertilit
W4416393312,10.3390/reprodmed6040037,B_held,unclear,gold,Reproductive Medicine,FAILED,"Reproductive Medicine:http 403, body too small; europepmc:not in Europe PMC","Environmental Pollution, Endocrine Disruptors, and Metabolic Status: Impact on Female Fert"
W7169720637,10.1093/biolre/ioag154,B_held,unclear,closed,,FAILED,europepmc:epmc hit but not OA (pmcid=none),Evaluation of the reproductive toxicity of endocrine disruptors during early embryo develo
W7172301594,10.3389/fendo.2026.1867408,B_held,plastic,gold,Frontiers in Endocrinology,FAILED,europepmc:not in Europe PMC,Microplastics and female infertility: reproductive toxicity and underlying mechanisms
W4406926599,10.57582/river.24010203.062,B_held,plastic,bronze,Research Innovation Views Embryology Reproduction.,OK/OK,"Research Innovation Vi:http 200, 730 KB; text: 23 KB text",Implication of nano and microplastics in reproduction: understanding oocyte vulnerability
W4415678996,10.1016/j.crtox.2025.100266,B_held,plastic,gold,Current Research in Toxicology,OK/OK,"europepmc:Europe PMC PMC12634823, 76 KB text",Microplastics in ovarian function and ozone-based mitigation strategies: Emerging evidence
W2901953597,10.1289/ehp1493,C_parameter,pfas,diamond,Environmental Health Perspectives,OK/OK,"Environmental Health P:http 000, body too small; europepmc:Europe PMC PMC6371644, 60 KB text",Conditioning on Parity in Studies of Perfluoroalkyl Acids and Time to Pregnancy: An Exampl
W2805233628,10.1016/j.envres.2018.05.019,C_parameter,pfas,green,PubMed Central,FAILED,europepmc:epmc hit but not OA (pmcid=PMC6174531),Menstrual cycle characteristics as determinants of plasma concentrations of perfluoroalkyl
W2790252163,10.1097/ede.0b013e3182467608,C_parameter,pfas,closed,,FAILED,europepmc:epmc hit but not OA (pmcid=none),Commentary
W2312597263,10.1016/j.envres.2015.12.029,C_parameter,pfas,green,PubMed Central,FAILED,europepmc:epmc hit but not OA (pmcid=PMC6300987),Perfluoroalkyl acids and Time-to-Pregnancy: The issue of “parity-conditioning bias”
W2115294221,10.1080/15287394.2013.771547,C_parameter,pfas,closed,,FAILED,europepmc:epmc hit but not OA (pmcid=none),Effect of Pregnancy on The Levels of Selected Perfluoroalkyl Compounds for Females Aged 17
W4406329195,10.1021/acs.est.4c08701,C_parameter,pfas,closed,,FAILED,europepmc:epmc hit but not OA (pmcid=none),Per- and Polyfluoroalkyl Substances and Female Health Concern: Gender-based Accumulation D
W2133554081,10.1021/es501811k,C_parameter,pfas,hybrid,Environmental Science & Technology,OK/OK,"europepmc:Europe PMC PMC4140533, 51 KB text",Changes in Serum Concentrations of Maternal Poly- and Perfluoroalkyl Substances over the C
W2768329455,10.1136/oemed-2017-104651,C_parameter,pfas,hybrid,Occupational and Environmental Medicine,OK/OK,"Occupational and Envir:http 403, not a PDF (publisher interstitial or paywall page); europepmc:Europe PMC PMC5749314, 33 KB text","Half-lives of PFOS, PFHxS and PFOA after end of exposure to contaminated drinking water"
W1268969431,10.1021/acs.est.5b02489,C_parameter,pfas,gold,,FAILED,europepmc:epmc hit but not OA (pmcid=PMC4638415),Sociodemographic and Perinatal Predictors of Early Pregnancy Per- and Polyfluoroalkyl Subs
W2104103595,10.1289/ehp.1306613,C_parameter,pfas,diamond,Environmental Health Perspectives,OK/OK,"University of Salford :http 403, not a PDF (publisher interstitial or paywall page); europepmc:Europe PMC PMC3915259, 39 KB text",Breastfeeding: A Potential Excretion Route for Mothers and Implications for Infant Exposur
W3175242490,10.1016/j.ijheh.2021.113796,C_parameter,pfas,hybrid,International Journal of Hygiene and Environmental Health,FAILED,europepmc:epmc hit but not OA (pmcid=none),Concentrations of perfluoroalkyl substances in donor breast milk in Southern Spain and the
W2554049170,10.1371/journal.pone.0166127,C_parameter,both,gold,PLoS ONE,OK/OK,"PLoS ONE:http 200, 1399 KB; text: 60 KB text",Factors Associated with Maternal Serum Levels of Perfluoroalkyl Substances and Organochlor
W4389003254,10.1016/j.envres.2023.117743,C_parameter,pfas,hybrid,Environmental Research,OK/OK,"LSHTM Research Online :http 200, 1904 KB; text: 70 KB text",Estimation of per- and polyfluoroalkyl substances (PFAS) half-lives in human studies: a sy
W4288695785,10.1021/acs.est.1c07970,C_parameter,pfas,green,PubMed Central,FAILED,europepmc:epmc hit but not OA (pmcid=PMC9798824),Longitudinal Changes in Maternal Serum Concentrations of Per- and Polyfluoroalkyl Substanc
W2981776382,10.1097/ee9.0000000000000027,C_parameter,pfas,gold,Environmental Epidemiology,OK/OK,"europepmc:Europe PMC PMC6173485, 48 KB text",Maternal Plasma Concentrations of Per- and Polyfluoroalkyl Substances and Breastfeeding Du
W2913899896,10.1016/j.envint.2019.01.010,C_parameter,pfas,gold,Environment International,FAILED,"Environment Internatio:http 403, not a PDF (publisher interstitial or paywall page); europepmc:epmc hit but not OA (pmcid=none)",Concentrations of perfluoroalkyl substances (PFASs) in human embryonic and fetal organs fr
W2232390271,10.1021/acs.est.5b04399,C_parameter,pfas,closed,,FAILED,europepmc:epmc hit but not OA (pmcid=none),A Simple Pharmacokinetic Model of Prenatal and Postnatal Exposure to Perfluoroalkyl Substa
W2419544541,10.1021/acs.est.6b00195,C_parameter,pfas,closed,,FAILED,europepmc:epmc hit but not OA (pmcid=PMC5256678),"Demographic, Reproductive, and Dietary Determinants of Perfluorooctane Sulfonic (PFOS) and"
W4226097951,10.1016/j.envint.2022.107198,C_parameter,pfas,gold,Environment International,FAILED,"Environment Internatio:http 403, not a PDF (publisher interstitial or paywall page); europepmc:epmc hit but not OA (pmcid=none)",Determinants of serum half-lives for linear and branched perfluoroalkyl substances after l
W3186933420,10.3390/toxics9070168,C_parameter,pfas,gold,Toxics,OK/OK,"Toxics:http 403, body too small; europepmc:Europe PMC PMC8309930, 59 KB text",Placental Transfer and Composition of Perfluoroalkyl Substances (PFASs): A Korean Birth Pa
W4380881888,10.1097/ee9.0000000000000260,C_parameter,pfas,gold,Environmental Epidemiology,OK/OK,"PubMed Central:http 200, body too small; europepmc:Europe PMC PMC10402953, 52 KB text",Maternal serum per- and polyfluoroalkyl substances during pregnancy and breastfeeding dura
W4408994176,10.1016/j.ecoenv.2025.118107,C_parameter,pfas,gold,Ecotoxicology and Environmental Safety,FAILED,europepmc:epmc hit but not OA (pmcid=none),Determinants of plasma poly- and perfluoroalkyl substances during pregnancy: The Japan Env
W4414224199,10.1016/j.envint.2025.109794,C_parameter,pfas,gold,Environment International,FAILED,europepmc:epmc hit but not OA (pmcid=none),"Serum, urinary and fecal concentrations of perfluoroalkyl substances after interventions w"
W7165374377,10.1021/envhealth.6c00088,C_parameter,pfas,diamond,Environment & Health,FAILED,"Environment & Health:http 403, not a PDF (publisher interstitial or paywall page); europepmc:not in Europe PMC",Transport of Perfluoroalkyl Substances (PFAS) by Three Renal Transporters: Implications fo
W7164672119,10.1007/s40572-026-00546-6,C_parameter,pfas,hybrid,Current Environmental Health Reports,OK/OK,"Current Environmental :http 200, not a PDF (publisher interstitial or paywall page); europepmc:Europe PMC PMC13264585, 89 KB text",Lactation Interrupted: PFAS Impact on Capacity to Breastfeed Ignored
W1996863157,10.1289/ehp.10598,C_parameter,pfas,diamond,Environmental Health Perspectives,OK/OK,"Environmental Health P:http 000, body too small; europepmc:Europe PMC PMC2072821, 48 KB text",Polyfluoroalkyl Chemicals in the U.S. Population: Data from the National Health and Nutrit
W2996727654,10.1016/j.envint.2019.105381,C_parameter,pfas,gold,Environment International,FAILED,"Environment Internatio:http 403, not a PDF (publisher interstitial or paywall page); europepmc:epmc hit but not OA (pmcid=PMC7374929)",Longitudinal trends in perfluoroalkyl and polyfluoroalkyl substances among multiethnic mid
W2012730897,10.1016/j.envint.2014.02.011,C_parameter,pfas,green,BIBSYS Brage (BIBSYS (Norway)),FAILED,europepmc:epmc hit but not OA (pmcid=none),Repeated measurements of per- and polyfluoroalkyl substances (PFASs) from 1979 to 2007 in 
W2163315413,10.1016/j.envint.2014.04.010,C_parameter,pfas,hybrid,Environment International,FAILED,"Environment Internatio:http 403, not a PDF (publisher interstitial or paywall page); Duo Research Archive (:http 200, not a PDF (publisher interstitial or paywall page); europepmc:epmc hit but not OA (pmcid=none)",Maternal serum concentrations of per- and polyfluoroalkyl substances and their predictors 
W4386319778,10.1016/j.envres.2023.117036,C_parameter,pfas,hybrid,Environmental Research,OK/OK,"University of Southern:http 200, 1429 KB; text: 48 KB text",Time trends in per- and polyfluoroalkyl substances (PFAS) concentrations in the Danish pop
W2616208216,10.1016/j.envres.2017.05.013,C_parameter,pfas,hybrid,Environmental Research,FAILED,"Environmental Research:http 403, not a PDF (publisher interstitial or paywall page); europepmc:epmc hit but not OA (pmcid=none)","Per- and polyfluoroalkyl substances (PFAS) in American Red Cross adult blood donors, 2000–"
W2111007101,10.1021/es300604p,C_parameter,pfas,closed,,FAILED,europepmc:epmc hit but not OA (pmcid=none),"Temporal Trends of Perfluoroalkyl Concentrations in American Red Cross Adult Blood Donors,"
W4210977565,10.1186/s13750-017-0114-y,C_parameter,pfas,gold,Environmental Evidence,FAILED,"Environmental Evidence:http 200, not a PDF (publisher interstitial or paywall page); europepmc:not in Europe PMC",What is the effect of phasing out long-chain per- and polyfluoroalkyl substances on the co
W3007737736,10.1289/ehp5337,C_parameter,pfas,diamond,Environmental Health Perspectives,OK/OK,"europepmc:Europe PMC PMC7064325, 74 KB text",Serum Levels of Perfluoroalkyl Substances (PFAS) in Adolescents and Young Adults Exposed t
W1973278600,10.1021/es8006244,C_parameter,pfas,closed,,FAILED,europepmc:epmc hit but not OA (pmcid=none),Use of Newborn Screening Program Blood Spots for Exposure Assessment: Declining Levels of 
W2068337533,10.1289/ehp.0800379,C_parameter,pfas,diamond,Environmental Health Perspectives,OK/OK,"europepmc:Europe PMC PMC2799461, 64 KB text","The C8 Health Project: Design, Methods, and Participants"
W4387977044,10.3390/ijerph20216984,C_parameter,pfas,gold,International Journal of Environmental Research and Public Health,OK/OK,"International Journal :http 403, body too small; PubMed Central:http 200, body too small; europepmc:Europe PMC PMC10648322, 46 KB text",Trends in Serum Per- and Polyfluoroalkyl Substance (PFAS) Concentrations in Teenagers and 
W3006980152,10.1021/acs.est.9b05490,C_parameter,pfas,green,PubMed Central,FAILED,europepmc:epmc hit but not OA (pmcid=PMC7244264),Exposure to Perfluoroalkyl Substances in a Cohort of Women Firefighters and Office Workers
W2908464782,10.1371/journal.pone.0209255,C_parameter,pfas,gold,PLoS ONE,OK/OK,"PLoS ONE:http 200, 497 KB; text: 36 KB text",Temporal trends and predictors of perfluoroalkyl substances serum levels in Swedish pregna
W1996771055,10.1097/jom.0b013e31820d1314,C_parameter,pfas,closed,,FAILED,europepmc:epmc hit but not OA (pmcid=none),Perfluoroalkyl Acids Including Perfluorooctane Sulfonate and Perfluorohexane Sulfonate in 
W2809520587,10.1039/c8em00174j,C_parameter,pfas,hybrid,Environmental Science Processes & Impacts,FAILED,"Environmental Science :http 403, not a PDF (publisher interstitial or paywall page); europepmc:epmc hit but not OA (pmcid=none)","Inter-individual, inter-city, and temporal trends of per- and polyfluoroalkyl substances i"
W4402327287,10.1016/j.eti.2024.103824,C_parameter,pfas,gold,Environmental Technology & Innovation,FAILED,europepmc:not in Europe PMC,Increasing disparities in human exposure to perfluorooctanesulfonic acid: Findings from pe
W7125949527,10.1371/journal.pwat.0000469,C_parameter,plastic,gold,PLOS Water,OK/OK,"PLOS Water:http 200, 1393 KB; text: 70 KB text",Micro-and nanoplastics in biological samples following a drinking water intervention in Ba
W3160202374,10.1021/acs.est.0c06978,C_parameter,pfas,closed,,FAILED,europepmc:epmc hit but not OA (pmcid=none),Per- and Polyfluoroalkyl Substances (PFAS) in Breast Milk: Concerning Trends for Current-U
W3087070834,10.1016/j.envint.2020.106123,C_parameter,pfas,gold,Environment International,FAILED,"Environment Internatio:http 403, not a PDF (publisher interstitial or paywall page); europepmc:epmc hit but not OA (pmcid=none)",Human biomonitoring of per- and polyfluoroalkyl substances in German blood plasma samples 
W3115056657,10.1016/j.envint.2020.106333,C_parameter,pfas,gold,Environment International,FAILED,"Environment Internatio:http 403, not a PDF (publisher interstitial or paywall page); europepmc:epmc hit but not OA (pmcid=none)",Serum perfluoroalkyl substances in residents following long-term drinking water contaminat
W4406683543,10.1016/j.envres.2025.120916,C_parameter,pfas,hybrid,Environmental Research,FAILED,"PubMed Central:http 200, body too small; europepmc:epmc hit but not OA (pmcid=PMC12082571)",Per- and polyfluoroalkyl substances (PFAS) exposure in the U.S. population: NHANES 1999–Ma
W2015435989,10.1289/ehp.1206450,C_parameter,pfas,diamond,Environmental Health Perspectives,OK/OK,"Environmental Health P:http 000, body too small; europepmc:Europe PMC PMC3734501, 44 KB text","Design, Methods, and Population for a Study of PFOA Health Effects among Highly Exposed Mi"
W3092294188,10.1016/j.envint.2020.106169,C_parameter,pfas,gold,Environment International,FAILED,"Environment Internatio:http 403, not a PDF (publisher interstitial or paywall page); europepmc:epmc hit but not OA (pmcid=none)","Perfluoroalkyl acids in pregnant women from Nunavik (Quebec, Canada): Trends in exposure a"
W4311931361,10.1021/acs.est.2c04501,C_parameter,pfas,green,PubMed Central,FAILED,"PubMed Central:http 200, body too small; europepmc:epmc hit but not OA (pmcid=PMC10103141)",Isomer-Specific Serum Concentrations of Perfluorooctane Sulfonic Acid among U.S. Adults: R
W7125016678,10.1097/jom.0000000000003670,C_parameter,pfas,hybrid,Journal of Occupational and Environmental Medicine,OK/OK,"europepmc:Europe PMC PMC13290036, 64 KB text",Predictors of Serum Per- and Polyfluoroalkyl Substances (PFAS) Levels Among US Career Fire
W7164742428,10.1002/ajim.70104,C_parameter,pfas,hybrid,American Journal of Industrial Medicine,FAILED,europepmc:epmc hit but not OA (pmcid=none),Per‐ and Polyfluoroalkyl Substances (PFAS) Exposure Profiles and Their Predictors in a Stu
W7155720555,10.1002/ajim.70084,C_parameter,pfas,hybrid,American Journal of Industrial Medicine,OK/OK,"europepmc:Europe PMC PMC13231396, 63 KB text",Serum PFAS in Aircraft Rescue and Firefighting (ARFF) Firefighters From Six U.S. Airport F
W4412539523,10.1038/s44222-025-00335-0,C_parameter,plastic,closed,,FAILED,europepmc:not in Europe PMC,Detection and characterization of microplastics and nanoplastics in biological samples
W2128113935,10.1093/biostatistics/kxu016,C_parameter,unclear,bronze,Biostatistics,FAILED,"Biostatistics:http 403, not a PDF (publisher interstitial or paywall page); europepmc:epmc hit but not OA (pmcid=PMC4168316)",Estimating effect of environmental contaminants on women's subfecundity for the MoBa study
W4416781540,10.1038/s41598-025-26751-1,C_parameter,plastic,gold,Scientific Reports,OK/OK,"Scientific Reports:http 200, 2841 KB; text: 48 KB text",Method for label-free &amp; non-destructive detection of microplastics in human formalin-f
W2112721631,10.1093/ije/dyu249,C_parameter,unclear,bronze,International Journal of Epidemiology,FAILED,"International Journal :http 403, not a PDF (publisher interstitial or paywall page); Pure Amsterdam UMC:http 403, not a PDF (publisher interstitial or paywall page); europepmc:epmc hit but not OA (pmcid=PMC4339763)",Bias from conditioning on live birth in pregnancy cohorts: an illustration based on neurod
W4399964591,10.1186/s43591-024-00090-w,C_parameter,plastic,gold,Microplastics and Nanoplastics,FAILED,"Microplastics and Nano:http 200, not a PDF (publisher interstitial or paywall page); europepmc:not in Europe PMC",Quantitation of micro and nanoplastics in human blood by pyrolysis-gas chromatography–mass
W4409687186,10.1016/j.jhazmat.2025.138371,C_parameter,plastic,hybrid,Journal of Hazardous Materials,FAILED,europepmc:epmc hit but not OA (pmcid=none),Production of detergent-free PET and biodegradable PBAT micro- and nanoplastics
W7130401709,10.1021/acs.est.5c06490,C_parameter,pfas,green,PubMed Central,FAILED,europepmc:epmc hit but not OA (pmcid=PMC13045749),Quantifying PFAS-Omics Burden Scores for Nontargeted Analysis Using Multidimensional Item 
W2082681716,10.1097/ede.0b013e31818ef47e,C_parameter,none,closed,,FAILED,europepmc:epmc hit but not OA (pmcid=PMC4226997),Validity of Self-Reported Time to Pregnancy
W3164188246,10.1038/s41598-021-90929-6,C_parameter,plastic,gold,Scientific Reports,OK/OK,"Scientific Reports:http 200, 2354 KB; text: 51 KB text",Harnessing PET to track micro- and nanoplastics in vivo
W4406305720,10.3390/bios15010044,C_parameter,plastic,gold,Biosensors,OK/OK,"Biosensors:http 403, body too small; PubMed Central:http 200, body too small; europepmc:Europe PMC PMC11763714, 156 KB text",Exploring Innovative Approaches for the Analysis of Micro- and Nanoplastics: Breakthroughs
W4386837577,10.3389/fchem.2023.1201734,C_parameter,plastic,green,PubMed Central,OK/OK,"PubMed Central:http 200, body too small; Frontiers in Chemistry:http 200, 6279 KB; text: 66 KB text",Separation and flow cytometry analysis of microplastics and nanoplastics
W4387461785,10.1016/j.xcrp.2023.101623,C_parameter,plastic,gold,Cell Reports Physical Science,FAILED,europepmc:not in Europe PMC,Fast detection and 3D imaging of nanoplastics and microplastics by stimulated Raman scatte
W4405738359,10.1016/j.jhazmat.2024.136978,C_parameter,plastic,hybrid,Journal of Hazardous Materials,FAILED,europepmc:epmc hit but not OA (pmcid=none),From automated Raman to cost-effective nanoparticle-on-film (NPoF) SERS spectroscopy: A co
W4317932392,10.1016/j.marpolbul.2023.114627,C_parameter,plastic,hybrid,Marine Pollution Bulletin,FAILED,europepmc:epmc hit but not OA (pmcid=none),Iodine-131 radiolabeled polyvinylchloride: A potential radiotracer for micro and nanoplast
W4283457988,10.1186/s12978-022-01450-6,C_parameter,none,gold,Reproductive Health,OK/OK,"Reproductive Health:http 200, not a PDF (publisher interstitial or paywall page); europepmc:Europe PMC PMC9233796, 47 KB text",The current situation and future directions for the study on time-to-pregnancy: a scoping 
W4410858946,10.3390/toxics13060452,C_parameter,plastic,gold,Toxics,OK/OK,"Toxics:http 403, body too small; europepmc:Europe PMC PMC12197141, 65 KB text",Quantitative Detection of Micro- and Nanoplastics (≥300 nm) in Human Urine Using Double-Sh
W7117137454,10.1186/s43591-025-00152-7,C_parameter,plastic,gold,Microplastics and Nanoplastics,OK/OK,"Microplastics and Nano:http 200, not a PDF (publisher interstitial or paywall page); europepmc:Europe PMC PMC12738653, 55 KB text",Advancing pyrolysis-gas chromatography-mass spectrometry for the accurate quantification o
W2159902645,10.1093/humupd/dmp048,C_parameter,none,closed,,FAILED,europepmc:epmc hit but not OA (pmcid=none),World Health Organization reference values for human semen characteristics*‡
W3196228331,10.1021/acs.chemrev.1c00178,C_parameter,plastic,bronze,Chemical Reviews,FAILED,"Chemical Reviews:http 403, not a PDF (publisher interstitial or paywall page); europepmc:epmc hit but not OA (pmcid=none)","Chemical Analysis of Microplastics and Nanoplastics: Challenges, Advanced Methods, and Per"
W3157443957,10.1038/s41565-021-00886-4,C_parameter,plastic,green,HAL (Le Centre pour la Communication Scientifique Directe),FAILED,europepmc:epmc hit but not OA (pmcid=none),Nanoplastics are neither microplastics nor engineered nanoparticles
W2014748065,10.1136/jech.49.3.314,C_parameter,none,bronze,Journal of Epidemiology & Community Health,FAILED,"Journal of Epidemiolog:http 403, not a PDF (publisher interstitial or paywall page); europepmc:epmc hit but not OA (pmcid=PMC1060805)","A time to pregnancy questionnaire designed for long term recall: validity in Oxford, Engla"
W2081856627,10.1111/j.2047-2927.2013.00125.x,C_parameter,none,green,PubMed Central,FAILED,europepmc:epmc hit but not OA (pmcid=PMC3812375),Semen parameters in fertile US men: the Study for Future Families
W4362735490,10.1016/j.cej.2023.142843,C_parameter,plastic,closed,,FAILED,europepmc:not in Europe PMC,Generation of polystyrene-specific antibodies for developing immunoassays to analyze micro
W4404819999,10.3390/photochem4040030,C_parameter,plastic,gold,Photochem,FAILED,"Photochem:http 403, body too small; europepmc:not in Europe PMC",Excitation–Emission Fluorescence Mapping Analysis of Microplastics That Are Typically Poll
W4411176347,10.1016/j.envint.2025.109599,C_parameter,pfas,gold,Environment International,FAILED,europepmc:epmc hit but not OA (pmcid=none),Validation of dietary assessment methods for PFOS exposure using biomonitoring data in a s
W2109899920,10.1093/ije/11.3.245,C_parameter,none,closed,,FAILED,europepmc:epmc hit but not OA (pmcid=none),Prevalence and Socioeconomic Correlates of Subfecundity and Spontaneous Abortion in Denmar
W2580096206,10.1093/humrep/dew361,C_parameter,none,hybrid,Human Reproduction,FAILED,"Human Reproduction:http 403, not a PDF (publisher interstitial or paywall page); europepmc:epmc hit but not OA (pmcid=PMC5850610)",Is human fecundity changing? A discussion of research and data gaps precluding us from hav
W1484712765,10.1111/j.1600-0412.2010.01005.x,C_parameter,none,bronze,Acta Obstetricia Et Gynecologica Scandinavica,FAILED,"Acta Obstetricia Et Gy:http 403, not a PDF (publisher interstitial or paywall page); europepmc:epmc hit but not OA (pmcid=none)",Has fertility declined in recent decades?
W2053970918,10.1038/aja.2012.122,C_parameter,none,gold,Asian Journal of Andrology,FAILED,"Asian Journal of Andro:http 200, body too small; europepmc:epmc hit but not OA (pmcid=PMC3739143)",Misconceptions about falling sperm counts and fertility in Europe
W4415203043,10.1016/j.fertnstert.2025.10.017,C_parameter,none,hybrid,Fertility and Sterility,FAILED,europepmc:epmc hit but not OA (pmcid=none),Evidence that declining human fecundity contributes to the fertility crisis
W7128724318,10.1111/andr.70193,C_parameter,none,hybrid,Andrology,OK/OK,"europepmc:Europe PMC PMC13266428, 39 KB text",Trends in Semen Quality: A Contrasting Perspective From a Single‐Centre Review in Ireland
