doi,openalex,year,type,venue,cited_by,title,prescreen_rule,provisional_cell,first_found_round,ra_verdict,ra_note
10.1111/j.1467-9485.2012.00590.x,W1967177494,2012,article,Scottish Journal of Political Economy,25,"Fertility Cycles, Age Structure and Housing Demand",reverse_direction,REVERSE,2,,
10.1007/s10680-009-9205-y,W1873806396,2010,article,European Journal of Population / Revue européenne de Démographie,25,Low Fertility and the Housing Market: Evidence from Swedish Regional Data,reverse_direction,REVERSE,4,,
10.2139/ssrn.1544607,W1578574739,2010,preprint,SSRN Electronic Journal,14,Do Family Wealth Shocks Affect Fertility Choices? Evidence from the Housing Market Boom and Bust,reverse_direction,REVERSE,1,,
,W2998507442,2018,dissertation,The Sydney eScholarship Repository (The University of Sydney),4,Fertility and Housing Market: Australian Evidence,reverse_direction,REVERSE,4,,
10.1016/j.jue.2025.103812,W4415292321,2025,article,Journal of Urban Economics,2,Impact of fertility relaxation on the housing market outcomes,reverse_direction,REVERSE,1,,
10.1016/j.econmod.2025.107125,W4410513801,2025,article,Economic Modelling,2,Long-run effects of super low fertility on housing markets,reverse_direction,REVERSE,5,,
10.2139/ssrn.2388449,W169530874,2014,preprint,SSRN Electronic Journal,1,The Effect of Gender Wages and Working Age Populations on Fertility and House Prices,reverse_direction,REVERSE,1,,
10.15396/eres2014_163,W3125434135,2014,conference-paper,,1,The effects of fertility rates and dependency rates on housing prices,reverse_direction,REVERSE,4,,
10.2139/ssrn.5208139,W4410111576,2025,preprint,SSRN Electronic Journal,0,"No room, no baby boom -the impact of housing markets on fertility",reverse_direction,REVERSE,1,,
10.1007/s10901-006-9050-9,W2065377959,2006,article,Journal of Housing and the Built Environment,195,Home-ownership and family formation,unmatched,UNCERTAIN_NEEDS_SCREEN,1,,
10.1023/a:1010706308868,W1509700920,2001,article,European Journal of Population / Revue européenne de Démographie,162,The Connections between Family Formation and First-time Home Ownership in the Context of West Germany and the Netherlands,unmatched,UNCERTAIN_NEEDS_SCREEN,1,,
10.3386/w2794,W2125000112,1988,report,National Bureau of Economic Research,136,"The Baby Boom, The Baby Bust, and the Housing Market",unmatched,UNCERTAIN_NEEDS_SCREEN,4,,
10.1080/02673037.2021.1893279,W3136414866,2021,article,Housing Studies,118,"Housing and fertility: a macro-level, multi-country investigation, 1993-2017",unmatched,UNCERTAIN_NEEDS_SCREEN,1,,
10.1080/01944360701802006,W2066905718,2008,article,Journal of the American Planning Association,118,Aging Baby Boomers and the Generational Housing Bubble: Foresight and Mitigation of an Epic Transition,unmatched,UNCERTAIN_NEEDS_SCREEN,4,,
10.1177/019791839002400102,W2058041186,1990,article,International Migration Review,116,Duration of Residence in the United States and the Fertility of U.S. Immigrants,unmatched,UNCERTAIN_NEEDS_SCREEN,4,,
10.31235/osf.io/89gcu,W4254487345,2019,preprint,,101,The influence of housing on family size in South Korea: Unstable housing and parity specific risk,unmatched,UNCERTAIN_NEEDS_SCREEN,1,,
10.1111/j.1741-3737.2001.01099.x,W2160815018,2001,article,Journal of Marriage and the Family,89,Marital Quality Ten Years After the Transition to Parenthood: Implications of the Timing of Parenthood and the Division of Housework,unmatched,UNCERTAIN_NEEDS_SCREEN,4,,
10.1093/oxfordjournals.esr.a036390,W2532821622,1985,article,European Sociological Review,84,Housing tenure and family formation in contemporary Britain,unmatched,UNCERTAIN_NEEDS_SCREEN,1,,
10.1016/j.ssresearch.2018.12.016,W2905019702,2018,article,Social Science Research,84,Reproduction of social inequality through housing: A three-generational study from Norway,unmatched,UNCERTAIN_NEEDS_SCREEN,4,,
10.1007/s00148-010-0345-5,W2089747765,2010,article,Journal of Population Economics,80,Housing and children: simultaneous decisions?—a cohort study of young adults’ housing and family formation decision,unmatched,UNCERTAIN_NEEDS_SCREEN,1,,
10.4054/demres.2012.27.1,W2099386106,2012,article,Demographic Research,79,Do women delay family formation in expensive housing markets?,unmatched,UNCERTAIN_NEEDS_SCREEN,1,,
10.1093/esr/jch009,W2022859842,2004,article,European Sociological Review,76,"Labour Market Position, Intergenerational Transfers and Home-ownership: A Longitudinal Analysis for West German Birth Cohorts",unmatched,UNCERTAIN_NEEDS_SCREEN,2,,
10.1002/psp.2289,W2983123230,2019,article,Population Space and Place,73,Fertility intentions of having a second child among the floating population in China: Effects of socioeconomic factors and home ownership,unmatched,UNCERTAIN_NEEDS_SCREEN,1,,
10.1177/0042098018775363,W2801066682,2018,article,Urban Studies,73,Inter-generational housing inequalities: ‘Baby Boomers’ versus the ‘Millennials’,unmatched,UNCERTAIN_NEEDS_SCREEN,4,,
10.1016/j.ajogmf.2021.100477,W3198716814,2021,review,American Journal of Obstetrics & Gynecology MFM,72,Housing instability and adverse perinatal outcomes: a systematic review,unmatched,UNCERTAIN_NEEDS_SCREEN,5,,
10.4054/demres.2015.32.30,W1989575737,2015,article,Demographic Research,71,"What is your couple type? Gender ideology, housework sharing, and babies",unmatched,UNCERTAIN_NEEDS_SCREEN,4,,
10.1016/0166-0462(91)90018-i,W2065211235,1991,article,Regional Science and Urban Economics,60,"The baby boom, the baby bust, and the housing market A second look",unmatched,UNCERTAIN_NEEDS_SCREEN,4,,
10.1526/003601104323087598,W2089592652,2004,article,Rural Sociology,55,Residential Differences in Family Formation: The Significance of Cohabitation*,unmatched,UNCERTAIN_NEEDS_SCREEN,4,,
10.1111/padr.12207,W2901282225,2018,article,Population and Development Review,52,"Housework, Gender Role Attitudes, and Couples' Fertility Intentions: Reconsidering Men's Roles in Gender Theories of Family Change",unmatched,UNCERTAIN_NEEDS_SCREEN,5,,
10.4337/9781848445147.00009,W2912538400,2008,book-chapter,Edward Elgar Publishing eBooks,49,The Intergenerational Transmission of Home Ownership and the Reproduction of the Familialistic Welfare Regime,unmatched,UNCERTAIN_NEEDS_SCREEN,2,,
10.1016/j.jet.2013.09.016,W2108492263,2013,article,Journal of Economic Theory,46,Property rights and efficiency in OLG models with endogenous fertility,unmatched,UNCERTAIN_NEEDS_SCREEN,4,,
10.1007/s10826-013-9824-0,W2060394766,2013,article,Journal of Child and Family Studies,46,Childbearing Motivations Scale: Construction of a New Measure and its Preliminary Psychometric Properties,unmatched,UNCERTAIN_NEEDS_SCREEN,4,,
10.1007/s00148-007-0153-8,W2102164851,2007,article,Journal of Population Economics,43,"Fertility, child care outside the home, and pay-as-you-go social security",unmatched,UNCERTAIN_NEEDS_SCREEN,4,,
10.1177/0001699315572028,W2319398328,2015,article,Acta Sociologica,39,Women’s housework decreases fertility,unmatched,UNCERTAIN_NEEDS_SCREEN,5,,
10.1002/psp.2098,W2750569904,2017,article,Population Space and Place,38,Residential segregation and the fertility of immigrants and their descendants,unmatched,UNCERTAIN_NEEDS_SCREEN,4,,
10.1186/s41118-019-0068-8,W2980582115,2019,article,Genus,31,The gendered division of housework and fertility intention in Turkey,unmatched,UNCERTAIN_NEEDS_SCREEN,4,,
10.1080/02673037.2018.1458288,W2800948146,2018,article,Housing Studies,28,Housing context and childbearing in Sweden: a cohort study,unmatched,UNCERTAIN_NEEDS_SCREEN,1,,
10.1068/a161303,W2094971474,1984,article,Environment and Planning A Economy and Space,25,"The Influence of Fertility, Early Housing-Career, and Socioeconomic Factors on Tenure Determination in Contemporary Britain",unmatched,UNCERTAIN_NEEDS_SCREEN,2,,
10.1080/01621459.1989.10478859,W2067811046,1989,article,Journal of the American Statistical Association,24,Forecasting Aggregate Period-Specific Birth Rates: The Time Series Properties of a Microdynamic Neoclassical Model of Fertility,unmatched,UNCERTAIN_NEEDS_SCREEN,4,,
10.3390/su13031534,W3126286627,2021,article,Sustainability,19,"Factors Influencing Fertility Intentions of Newlyweds in South Korea: Focus on Demographics, Socioeconomics, Housing Situation, Residential Satisfaction, and Housing Expectation",unmatched,UNCERTAIN_NEEDS_SCREEN,1,,
10.1080/19485565.1995.9988902,W2034024285,1995,article,Social Biology,18,Effects of multi‐family housing on marital fertility in Iran: Population policy implications,unmatched,UNCERTAIN_NEEDS_SCREEN,3,,
10.1007/s11113-016-9384-2,W2280249693,2016,article,Population Research and Policy Review,18,Outsourcing of Housework and the Transition to a Second Birth in Germany,unmatched,UNCERTAIN_NEEDS_SCREEN,4,,
10.1177/0042098015615742,W3125001667,2015,article,Urban Studies,17,Do housing options affect child birth decisions? Evidence from Taiwan,unmatched,UNCERTAIN_NEEDS_SCREEN,2,,
10.3138/jcfs.43.3.439,W2601990648,2012,article,Journal of Comparative Family Studies,17,Starting a Family at Your Parents’ House: Multigenerational Households and Below Replacement Fertility in Urban Bulgaria,unmatched,UNCERTAIN_NEEDS_SCREEN,4,,
10.1016/0277-9536(92)90232-f,W2056116196,1992,article,Social Science & Medicine,17,Fertility differentials among the Ijo in Southern Nigeria: Does urban residence make a difference?,unmatched,UNCERTAIN_NEEDS_SCREEN,5,,
10.1371/journal.pone.0051463,W2078985008,2012,article,PLoS ONE,15,Ownership of Dwelling Affects the Sex Ratio at Birth in Uganda,unmatched,UNCERTAIN_NEEDS_SCREEN,2,,
10.2307/2084364,W2333459580,1937,article,American Sociological Review,15,Housing and the Birth Rate in Sweden,unmatched,UNCERTAIN_NEEDS_SCREEN,3,,
10.2307/135464,W1978021930,1989,article,Canadian Journal of Economics/Revue canadienne d économique,15,"The Baby Boom, Housing and Loanable Funds",unmatched,UNCERTAIN_NEEDS_SCREEN,5,,
10.1016/j.cities.2023.104643,W4387993123,2023,article,Cities,14,"Perceptions of housing stability and fertility intentions among public housing renters in Guangzhou, China",unmatched,UNCERTAIN_NEEDS_SCREEN,1,,
10.1016/j.eap.2023.08.012,W4386034471,2023,article,Economic Analysis and Policy,14,The housing status and two-child fertility willingness of floating population: Evidence from the Chinese General Social Survey,unmatched,UNCERTAIN_NEEDS_SCREEN,3,,
10.1016/j.jpolmod.2019.05.008,W2949452997,2019,article,Journal of Policy Modeling,13,The long-term consequences of youth housing for childbearing and higher education,unmatched,UNCERTAIN_NEEDS_SCREEN,1,,
10.2307/352144,W1963817722,1985,article,Journal of Marriage and the Family,13,Residence Exposure and Fertility Expectations of Young Mormon and Non-Mormon Women in Utah,unmatched,UNCERTAIN_NEEDS_SCREEN,4,,
10.1016/j.eap.2020.01.005,W3003563339,2020,article,Economic Analysis and Policy,12,Are housing property rights important for fertility outcomes in China? Empirical evidence and policy issues,unmatched,UNCERTAIN_NEEDS_SCREEN,2,,
,W2760671802,2017,article,,12,A STUDY OF PSYCHOMETRIC PROPERTIES OF PERSIAN VERSION OF ATTITUDES TOWARD FERTILITY AND CHILDBEARING SCALE,unmatched,UNCERTAIN_NEEDS_SCREEN,5,,
,W56233960,2006,preprint,SSRN Electronic Journal,12,Housing Trends Among Baby Boomers,unmatched,UNCERTAIN_NEEDS_SCREEN,5,,
10.3224/zff.v31i1.03,W2937738238,2019,article,Journal of Family Research,11,"Does fixed-term employment delay important partnership events? Comparing transitions into cohabitation, marriage, parenthood and home ownership among young adults in Germany",unmatched,UNCERTAIN_NEEDS_SCREEN,2,,
10.1016/s0277-9536(00)00451-2,W1988532869,2001,article,Social Science & Medicine,11,Marital fertility in Lebanon: a study based on the population and housing survey,unmatched,UNCERTAIN_NEEDS_SCREEN,4,,
10.1177/0192513x231155666,W4319316816,2023,article,Journal of Family Issues,11,Division of Housework and Women’s Fertility Willingness,unmatched,UNCERTAIN_NEEDS_SCREEN,4,,
10.2174/1874918601003010001,W2112084077,2010,article,The Open Demography Journal,10,Housework and Family Formation - Exploring the Relationship Between Gender Division of Housework and Having Children,unmatched,UNCERTAIN_NEEDS_SCREEN,5,,
10.1080/02732173.1995.9982091,W1981311830,1995,article,Sociological Spectrum,9,Effect of housing tenure on fertility,unmatched,UNCERTAIN_NEEDS_SCREEN,2,,
10.1080/10511482.2024.2328142,W4394819112,2024,article,Housing Policy Debate,9,"Do Long Commutes Discourage Fertility Intentions Among Young Public Housing Renters in Guangzhou, China?",unmatched,UNCERTAIN_NEEDS_SCREEN,2,,
,W56406145,2006,conference-paper,Research Repository (Delft University of Technology),8,Home-ownership regimes and lowest-low fertility,unmatched,UNCERTAIN_NEEDS_SCREEN,2,,
10.1002/psp.2883,W4406083342,2025,article,Population Space and Place,7,Parental Dependency and Costly Offspring: Housing and Fertility of Young Adults in China's Large City,unmatched,UNCERTAIN_NEEDS_SCREEN,1,,
10.26444/aaem/75544,W2735029133,2017,article,Annals of Agricultural and Environmental Medicine,7,Study on changing patterns of reproductive behaviours due to maternal features and place of residence in Poland during 1995–2014,unmatched,UNCERTAIN_NEEDS_SCREEN,4,,
,W2224046657,2014,report,Repositori digital de la UPF (Universitat Pompeu Fabra),7,"Homes and husbands for all: Marriage, housing and the baby boom",unmatched,UNCERTAIN_NEEDS_SCREEN,4,,
10.1186/s41118-023-00200-1,W4386590296,2023,article,Genus,7,Are gender attitudes and gender division of housework and childcare related to fertility intentions in Kazakhstan?,unmatched,UNCERTAIN_NEEDS_SCREEN,5,,
,W784602893,2004,article,ScholarsArchive  (Brigham Young University),7,"Marriage Moments: An Evaluation of an Approach to Strengthen Couples' Relationships During the Transition to Parenthood, in the Context of a Home Visitation Program",unmatched,UNCERTAIN_NEEDS_SCREEN,5,,
10.1007/s11113-023-09844-5,W4389445056,2023,article,Population Research and Policy Review,6,"The Impact of Supportive Housing Policy Scenarios on Marriage and Fertility Intentions: A Vignette Survey Experimental Study in Shanghai, China",unmatched,UNCERTAIN_NEEDS_SCREEN,1,,
10.1007/s12144-020-01004-8,W3082638950,2020,article,Current Psychology,6,“Psychometric properties and factor structure of the attitudes to fertility and childbearing scale (AFCS) in a sample of polish women”,unmatched,UNCERTAIN_NEEDS_SCREEN,4,,
10.22313/reik.2019.17.4.75,W3006064820,2019,article,Residential Environment Institute Of Korea,6,Analyzing the Characteristics of Residential Poverty affecting Marriage and Childbirth,unmatched,UNCERTAIN_NEEDS_SCREEN,4,,
10.9734/bjmmr/2017/30723,W2579995996,2017,article,Journal of Advances in Medicine and Medical Research,6,Psychometric Properties of Japanese Version of the Attitudes towards Fertility and Childbearing Scale (AFCS),unmatched,UNCERTAIN_NEEDS_SCREEN,5,,
10.1080/00324728.1974.10405181,W2068460035,1974,article,Population Studies,6,Residence background and fertility in Greater Bombay,unmatched,UNCERTAIN_NEEDS_SCREEN,5,,
10.1002/psp.2172,W2883279764,2018,article,Population Space and Place,5,Interrelation between births and the housing market: A cointegration analysis for the Spanish case,unmatched,UNCERTAIN_NEEDS_SCREEN,1,,
10.9728/dcs.2020.21.2.327,W3011450307,2020,article,Journal of Digital Contents Society,5,"The Relationship between Childbirth, Housing and Socio-Economic Factors: The Pattern Analysis using Decision Tree",unmatched,UNCERTAIN_NEEDS_SCREEN,2,,
10.3390/healthcare6040120,W2891782160,2018,article,Healthcare,5,Development and Psychometric Properties of The Delayed Childbearing Questionnaire (DCBQ-55),unmatched,UNCERTAIN_NEEDS_SCREEN,4,,
10.1089/jwh.2023.0002,W4388521709,2023,article,Journal of Women s Health,5,Association of Antenatal Housing Instability with Perinatal Care Utilization and Outcomes,unmatched,UNCERTAIN_NEEDS_SCREEN,5,,
10.1007/bf01580365,W2085288226,1995,article,The Annals of Regional Science,5,"The baby boom, the baby bust and the housing market: a further look at the debate",unmatched,UNCERTAIN_NEEDS_SCREEN,5,,
10.1007/s11113-023-09846-3,W4392221640,2024,article,Population Research and Policy Review,4,Inheriting the Homeland? The Influence of Parental Origin-Country Fertility on Ideal Family Size and the Timing of Birth(s) Among the Children of Immigrants in France,unmatched,UNCERTAIN_NEEDS_SCREEN,1,,
,W105828478,2010,article,,4,Housing policy and family formation,unmatched,UNCERTAIN_NEEDS_SCREEN,2,,
10.1002/psp.70131,W4415509319,2025,article,Population Space and Place,3,Housing Expenditure and Births in Italy,unmatched,UNCERTAIN_NEEDS_SCREEN,1,,
10.1002/psp.70036,W4409377337,2025,article,Population Space and Place,3,"Evaluating Housing Policy Effects on Childbirth Intentions in South Korea: Preferences, Benefits, and Policy Implications",unmatched,UNCERTAIN_NEEDS_SCREEN,2,,
10.15709/hswr.2016.36.3.204,W2566527130,2016,article,Health and Social Welfare Review,3,Newly Married Couples‘ Housing Assets and Childbirth: Focusing on the Households Married Since 2000,unmatched,UNCERTAIN_NEEDS_SCREEN,1,,
10.1016/j.cities.2026.106837,W7129105754,2026,article,Cities,3,"Examining the non-linear relationship between the residential environment and birth rate in Seoul, South Korea",unmatched,UNCERTAIN_NEEDS_SCREEN,3,,
,W2337074434,2012,article,,3,BIRTHS AND HOUSING NEEDS IN SPAIN. AN ANALYSIS OF C AUSALITY,unmatched,UNCERTAIN_NEEDS_SCREEN,4,,
,W3140682174,2021,report,Econstor (Econstor),3,"No Flat, No Child in Singapore: Cointegration Analysis of Housing, Income, and Fertility",unmatched,UNCERTAIN_NEEDS_SCREEN,4,,
10.1016/j.socscimed.2018.02.009,W2793496776,2018,article,Social Science & Medicine,3,"Clinic access and teenage birth rates: Racial/ethnic and spatial disparities in Houston, TX",unmatched,UNCERTAIN_NEEDS_SCREEN,4,,
10.1038/s41598-025-01184-y,W4410430192,2025,article,Scientific Reports,3,"Multidimensional Scale of Motives for Postponing Parenthood (MSMPP-18): Development, factorial structure and psychometric properties",unmatched,UNCERTAIN_NEEDS_SCREEN,4,,
10.1097/jxx.0000000000000557,W3126471717,2021,article,Journal of the American Association of Nurse Practitioners,3,The development and implementation of an advanced practice registered nurse–led prenatal education program for housing insecure women,unmatched,UNCERTAIN_NEEDS_SCREEN,5,,
10.1080/12265934.2025.2452507,W4406684808,2025,article,International Journal of Urban Sciences,2,"Housing market, social housing, and fertility: evidence from urban China",unmatched,UNCERTAIN_NEEDS_SCREEN,1,,
10.1016/j.alcr.2023.100577,W4386826586,2023,article,Advances in Life Course Research,2,"The trifecta of adulthood: Housing, partnering and childbearing trajectories",unmatched,UNCERTAIN_NEEDS_SCREEN,1,,
10.17045/sthlmuni.14555868.v1,W3160060909,2021,article,Figshare,2,Childbearing Behavior in the Light of Different Housing Regimes: First Births in Sweden 1975-2004,unmatched,UNCERTAIN_NEEDS_SCREEN,2,,
10.3389/fpubh.2025.1328329,W4408636255,2025,article,Frontiers in Public Health,2,Does inhabitant’s fertility intention respond to housing status in the urban built environment: evidence from China,unmatched,UNCERTAIN_NEEDS_SCREEN,2,,
10.31235/osf.io/frbnc,W4400128135,2024,preprint,,2,Housing Expenditure and Childbirth in the United Kingdom,unmatched,UNCERTAIN_NEEDS_SCREEN,4,,
10.1108/ijhma-11-2023-0155,W4390917103,2024,article,International Journal of Housing Markets and Analysis,2,Parental financial support for housing: the importance of investment homes and family size,unmatched,UNCERTAIN_NEEDS_SCREEN,4,,
10.2478/sjs-2019-0009,W2969213510,2019,article,Swiss Journal of Sociology,2,Family Development and Residential Trajectories of Two Birth Cohorts Living in Switzerland: Between Individualization and Standardization,unmatched,UNCERTAIN_NEEDS_SCREEN,4,,
,W2773578695,2017,preprint,RePEc: Research Papers in Economics,2,"Houses Divided: A Model of Intergenerational Transfers, Differential Fertility and Wealth Inequality",unmatched,UNCERTAIN_NEEDS_SCREEN,5,,
10.2139/ssrn.5046571,W4405353391,2024,preprint,SSRN Electronic Journal,1,Housing and Fertility,unmatched,UNCERTAIN_NEEDS_SCREEN,1,,
,W1645904186,2015,preprint,RePEc: Research Papers in Economics,1,"Youth dwellings, higher education, and childbearing",unmatched,UNCERTAIN_NEEDS_SCREEN,2,,
10.1016/j.ajss.2025.100221,W4415742692,2025,article,Asian journal of social science,1,Housing–fertility interdependencies in South Korea: A dynamic analysis across regional disparities and temporal shifts,unmatched,UNCERTAIN_NEEDS_SCREEN,1,,
,W2967509323,2019,article,Journal of The Korean Regional Development Association,1,The Effect of Housing Finance Sources on Fertility Rate among Newly-Married Households: Considering the Mediating Effect of Housing Tenure,unmatched,UNCERTAIN_NEEDS_SCREEN,4,,
10.32609/0042-8736-2025-6-137-153,W4411112400,2025,article,Voprosy Ekonomiki,1,Mortgage and reproductive intentions: A boost or a barrier?,unmatched,UNCERTAIN_NEEDS_SCREEN,4,,
10.1371/journal.pone.0329404,W4413272373,2025,article,PLoS ONE,1,"English validation of the Multidimensional Scale of Motives for Postponing Parenthood (MSMPP-18-EN): Factorial structure, psychometric properties, and correlates",unmatched,UNCERTAIN_NEEDS_SCREEN,4,,
10.6107/jkha.2015.26.1.109,W2326466318,2015,article,Journal of the Korean housing association,1,Generational Divides of Household Wealth and Propensity to Invest in Housing Asset - Baby-boomers and Eco-boomers in the Seoul Metropolitan Area -,unmatched,UNCERTAIN_NEEDS_SCREEN,4,,
10.1007/978-3-319-26115-7_15,W2336915295,2015,book-chapter,The urban book series,1,The Effects of Iran’s First Baby Boomers (1976–1986) on the Housing Economy of Iran and the Government Policies to Deal with Its Resulting Issues,unmatched,UNCERTAIN_NEEDS_SCREEN,5,,
10.1080/02673031003711519,W1544462608,2010,article,Housing Studies,0,"Housing and First Births in Sweden, 1972–2005",unmatched,UNCERTAIN_NEEDS_SCREEN,2,,
10.1073/pnas.2602426123,W7171437109,2026,article,Proceedings of the National Academy of Sciences,0,Can stimulating ownership increase fertility: Evidence from housing interventions in China,unmatched,UNCERTAIN_NEEDS_SCREEN,1,,
10.1080/02673037.2026.2617564,W7128083268,2026,article,Housing Studies,0,Is a family-friendly home still a prerequisite for childbearing?,unmatched,UNCERTAIN_NEEDS_SCREEN,1,,
,W637675151,2012,dissertation,KTH Publication Database DiVA (KTH Royal Institute of Technology),0,The Residential Effect on the Risk of Transition to Parenthood in Sweden,unmatched,UNCERTAIN_NEEDS_SCREEN,2,,
10.21203/rs.3.rs-7441721/v1,W4415443644,2025,preprint,Research Square,0,The Effects of Housing Expenditure Pressure and Gender Preference on the Reproduction Willingness for Young Female Migrants: Evidence from China,unmatched,UNCERTAIN_NEEDS_SCREEN,2,,
10.2991/aebmr.k.210319.115,W3144108245,2021,conference-paper,"Advances in economics, business and management research/Advances in Economics, Business and Management Research",0,Housing Purchase Restriction and Birth Rates: An Unintended Consequence of Governmental Intervention,unmatched,UNCERTAIN_NEEDS_SCREEN,1,,
10.1007/978-3-031-64447-4_11,W4406623669,2025,conference-paper,,0,Housing Insecurity and First Births in Italy,unmatched,UNCERTAIN_NEEDS_SCREEN,1,,
10.13060/23362839.2019.6.1.445,W2950485713,2019,article,Critical Housing Analysis,0,Order and Timing of Home Ownership and Fertility Decisions in Australia,unmatched,UNCERTAIN_NEEDS_SCREEN,2,,
10.2139/ssrn.5130538,W4407337151,2025,preprint,SSRN Electronic Journal,0,Did the Modern Mortgage Set the Stage for the U.S. Baby Boom?,unmatched,UNCERTAIN_NEEDS_SCREEN,1,,
10.17208/jkpa.2025.02.60.1.127,W4408787615,2025,article,국토계획,0,The Effects of Housing Market Volatility on the Fertility Rate,unmatched,UNCERTAIN_NEEDS_SCREEN,3,,
10.12677/mm.2023.133026,W4323341744,2023,article,Modern Management,0,Live in Peace and Enjoy Education: Research on the Impact of Housing Property Rights on Fertility Intention,unmatched,UNCERTAIN_NEEDS_SCREEN,4,,
,W69546562,2014,article,,0,"Sex ratio, mother's education & residence, birth order.",unmatched,UNCERTAIN_NEEDS_SCREEN,4,,
10.2139/ssrn.6945732,W7164848462,2026,preprint,SSRN Electronic Journal,0,Does Residential Environment Matter for Urban Fertility? Evidence from Public Cultural Amenities in South Korea,unmatched,UNCERTAIN_NEEDS_SCREEN,4,,
10.1080/17538963.2015.1080907,W3122685948,2015,article,China Economic Journal,0,Fertility and housing,unmatched,UNCERTAIN_NEEDS_SCREEN,4,,
10.6107/jkha.2025.36.3.035,W4412172552,2025,article,Journal of the Korean housing association,0,Parenting-Friendly Housing Support Measures for Addressing Low Fertility - Focusing on International Cases of Multigenerational Housing -,unmatched,UNCERTAIN_NEEDS_SCREEN,4,,
10.3389/fsoc.2026.1617449,W7133187980,2026,article,Frontiers in Sociology,0,Impact of occupational pairing on women’s fertility plans: roles of domestic burden and housework satisfaction,unmatched,UNCERTAIN_NEEDS_SCREEN,5,,
,W269985631,2011,article,,0,Constructing a Housing Database for Family Formation Analyses in Europe 1945-2010.,unmatched,UNCERTAIN_NEEDS_SCREEN,5,,
10.3390/ijerph22020186,W4406934072,2025,article,International Journal of Environmental Research and Public Health,0,Factor Structure and Psychometric Properties of the Italian Version of the Childbearing Motivations Scale,unmatched,UNCERTAIN_NEEDS_SCREEN,5,,
