paperId,doi,title,year,verdict,estimand_cell,evidence_type,treatment,outcome,direction,reason,ra_decision,ra_note
W3081943314,10.1111/rode.12704,Fertility decisions of families in an intergenerational exchange model,2020,NOT_RELEVANT,NA,theory,n/a,n/a,n/a,does not study a covered legal-policy mechanism,,
W3173493406,10.1596/1813-9450-9105,"Free Primary Education, Fertility, And Women's Access To The Labor Market : Evidence From Ethiopia",2020,RELEVANT,OFF_EXPOSURE,theory,education expansion or reform,fertility timing,forward,Studies education access or attainment and fertility without a clearly covered legal mandate.,,
W3101287853,10.1016/j.econedurev.2020.102059,Higher education and fertility: Evidence from reforms in Greece,2020,UNCERTAIN,OFF_EXPOSURE,other,education or schooling,fertility or family formation,forward,title is plausibly relevant but no abstract is available,,
W3123997382,10.2139/ssrn.3718156,Impact of Termination of Universal Primary Education on Lifelong Fertility and Child Educational Quality: Evidence From Kenya,2020,UNCERTAIN,OFF_EXPOSURE,other,education or schooling,fertility or family formation,forward,title is plausibly relevant but no abstract is available,,
W3101444895,10.26509/frbc-wp-201533r,Industrial Composition and Educational Intergenerational Mobility,2020,NOT_RELEVANT,NA,other,n/a,n/a,n/a,title and abstract do not study a covered legal-policy mechanism,,
W3011742881,10.1093/jeea/jvaa006,Intergenerational Associations and the Fertility Transition,2020,NOT_RELEVANT,NA,other,n/a,n/a,n/a,title and abstract do not study a covered legal-policy mechanism,,
W4232239060,10.2139/ssrn.3608525,Keeping Kids in School and Out of Work: Compulsory Schooling and Child Labor in Turkey,2020,UNCERTAIN,OFF_OUTCOME,other,covered schooling or child-labor law,child labor,forward,title is plausibly relevant but no abstract is available,,
W3007702571,10.1017/s0022050719000779,Long-Run Impacts of Agricultural Shocks on Educational Attainment: Evidence from the Boll Weevil,2020,RELEVANT,MODE_PRODUCTION,observational,productive value of children,child labor or fertility,forward,Links the productive value of children or child labor to fertility outside covered legal variation.,,
W2911385571,10.1016/b978-0-12-815391-8.00019-7,Monetary and non-monetary incentives for educational attainment: design and effectiveness,2020,NOT_RELEVANT,NA,other,n/a,n/a,n/a,title and abstract do not study a covered legal-policy mechanism,,
W3000315257,10.1016/b978-0-12-815391-8.00007-0,Parental education and children's health throughout life,2020,NOT_RELEVANT,NA,other,n/a,n/a,n/a,title and abstract do not study a covered legal-policy mechanism,,
W3108885138,10.1596/1813-9450-9420,Secondary Schools and Teenage Childbearing : Evidence from the School Expansion in Brazilian Municipalities,2020,NOT_RELEVANT,NA,other,n/a,n/a,n/a,title and abstract do not study a covered legal-policy mechanism,,
W3091923028,10.1093/wber/lhaa022,Secondary Schools and Teenage Childbearing: Evidence from the School Expansion in Brazilian Municipalities,2020,NOT_RELEVANT,NA,other,n/a,n/a,n/a,title and abstract do not study a covered legal-policy mechanism,,
W3041085865,10.2478/izajodm-2020-0010,Secondary education and international labor mobility: evidence from the natural experiment in the Philippines,2020,NOT_RELEVANT,NA,quasi-experimental,n/a,n/a,n/a,does not study a covered legal-policy mechanism,,
W3111575516,10.2139/ssrn.3680730,"The Dark Side of Batteries: Education, Fertility and Cobalt Mining in the Democratic Republic of Congo",2020,NOT_RELEVANT,NA,other,n/a,n/a,n/a,title and abstract do not study a covered legal-policy mechanism,,
W2893680866,10.1257/jel.20191316,The Economics of Language,2020,NOT_RELEVANT,NA,other,n/a,n/a,n/a,title and abstract do not study a covered legal-policy mechanism,,
W3037191243,10.1007/s00148-020-00787-1,The education gender gap and the demographic transition in developing countries,2020,NOT_RELEVANT,NA,other,n/a,education gender gap and demographic transition,n/a,Title indicates education and demographic transition but no covered legal-policy treatment.,,
W2795910881,10.1016/j.jhealeco.2019.102250,The effect of prenatal maternity leave on short and long-term child outcomes,2020,NOT_RELEVANT,NA,other,n/a,n/a,n/a,title and abstract do not study a covered legal-policy mechanism,,
W3010409071,10.31390/gradschool_dissertations.5159,Three Essays on the Economics of Education,2020,UNCERTAIN,OFF_EXPOSURE,quasi-experimental,universal primary education program,female fertility,forward,"Dissertation includes a causal education-to-fertility chapter, but the abstract does not establish a covered compulsory-schooling mandate.",,
W3000055925,10.5296/jpag.v10i1.15429,Trade and Child Labor: A Review of Literature,2020,NOT_RELEVANT,NA,review,n/a,n/a,n/a,does not study a covered legal-policy mechanism,,
W2979586175,10.1257/aer.20181169,Two-Way Fixed Effects Estimators with Heterogeneous Treatment Effects,2020,NOT_RELEVANT,NA,observational,n/a,n/a,n/a,No covered child-labor or compulsory-schooling policy-to-fertility relationship is indicated.,,
W2911692517,10.1007/978-3-030-11313-1_9,"A Hard Day’s Night: Provision of Public Evening Schools in the United States, 1870–1910",2019,NOT_RELEVANT,NA,other,n/a,n/a,n/a,title and abstract do not study a covered legal-policy mechanism,,
W2945544486,10.1257/pandp.20191013,A Reason to Wait: The Effect of Legal Status on Teen Pregnancy,2019,NOT_RELEVANT,NA,observational,n/a,n/a,n/a,No covered child-labor or compulsory-schooling policy-to-fertility relationship is indicated.,,
W2974664342,10.1016/j.eeh.2019.101304,A machine learning approach to improving occupational income scores,2019,NOT_RELEVANT,NA,other,n/a,n/a,n/a,title and abstract do not study a covered legal-policy mechanism,,
W2942525780,10.1007/s13524-019-00782-6,Advanced School Progression Relative to Age and Early Family Formation in Mexico,2019,NOT_RELEVANT,NA,observational,n/a,n/a,n/a,does not study a covered legal-policy mechanism,,
W2995675284,10.1016/j.ssmph.2019.100526,Alternative causal inference methods in population health research: Evaluating tradeoffs and triangulating evidence,2019,NOT_RELEVANT,NA,quasi-experimental,n/a,n/a,n/a,does not study a covered legal-policy mechanism,,
W2787274450,10.1162/rest_a_00824,Breaking the Cycle? Education and the Intergenerational Transmission of Violence,2019,RELEVANT,OFF_OUTCOME,quasi-experimental,compulsory-schooling reform,non-fertility outcome,forward,estimates or analyzes a covered law first stage or non-fertility effect,,
W2916024336,10.1086/703123,Can Compulsory Schooling Reduce Language-Based Educational Gaps? Evidence from a Policy Change in Paraguay,2019,RELEVANT,OFF_OUTCOME,quasi-experimental,compulsory-schooling reform,non-fertility outcome,forward,estimates or analyzes a covered law first stage or non-fertility effect,,
W2938479017,10.1007/s13524-019-00771-9,Causal Impact of Having a College Degree on Women’s Fertility: Evidence From Regression Kink Designs,2019,NOT_RELEVANT,NA,theory,n/a,n/a,n/a,does not study a covered legal-policy mechanism,,
W2945124658,10.1016/j.ssmph.2019.100386,Causal effects of education on sexual and reproductive health in low and middle-income countries: A systematic review and meta-analysis,2019,NOT_RELEVANT,NA,other,n/a,n/a,n/a,title and abstract do not study a covered legal-policy mechanism,,
W2989559236,10.1332/175795919x15659210629362,Causality in life course research: the potential use of ‘natural experiments’ for causal inference,2019,NOT_RELEVANT,NA,quasi-experimental,n/a,n/a,n/a,No covered child-labor or compulsory-schooling policy-to-fertility relationship is indicated.,,
W2912359857,10.1007/s00199-019-01176-w,Child labor and compulsory education: the effects of government education policy on economic growth and welfare,2019,NOT_RELEVANT,NA,observational,n/a,n/a,n/a,does not study a covered legal-policy mechanism,,
W3123907772,10.1257/mic.20170039,Competition in Treasury Auctions,2019,NOT_RELEVANT,NA,observational,n/a,n/a,n/a,does not study a covered legal-policy mechanism,,
W2987280424,10.1007/978-981-10-0942-6_20-1,Compulsory Educational Provision,2019,NOT_RELEVANT,NA,observational,n/a,n/a,n/a,does not study a covered legal-policy mechanism,,
W2562260113,10.3390/econometrics7030036,Compulsory Schooling and Returns to Education: A Re-Examination,2019,RELEVANT,OFF_OUTCOME,quasi-experimental,compulsory-schooling law,schooling or child labor,forward,Directly examines a covered policy or mechanism first stage without a fertility outcome.,,
W2952901519,10.1016/j.econedurev.2019.06.001,"Compulsory schooling for whom? The role of gender, poverty, and religiosity",2019,UNCERTAIN,OFF_OUTCOME,other,compulsory-schooling law,schooling or child labor,forward,"Title suggests a potentially covered relationship, but the missing or ambiguous abstract prevents confident routing.",,
W2948878644,,DID_MULTIPLEGT: Stata module to estimate sharp Difference-in-Difference designs with multiple groups and periods,2019,NOT_RELEVANT,NA,observational,n/a,n/a,n/a,No covered child-labor or compulsory-schooling policy-to-fertility relationship is indicated.,,
W2968921468,10.1111/sjoe.12391,Demographic Transition and Fertility Rebound in Economic Development*,2019,NOT_RELEVANT,NA,theory,n/a,n/a,n/a,does not study a covered legal-policy mechanism,,
W3164082621,10.2139/ssrn.3437984,Does High School Size Matter for Risky Behaviors and Mental Health of Low-Income Teenagers? Evidence from New York City,2019,NOT_RELEVANT,NA,other,n/a,n/a,n/a,title and abstract do not study a covered legal-policy mechanism,,
W2154210580,10.1016/j.jhealeco.2019.102268,Does education reduce teen fertility? Evidence from compulsory schooling laws,2019,UNCERTAIN,TEMPO,other,covered schooling or child-labor law,fertility or family formation,forward,title is plausibly relevant but no abstract is available,,
W2955401496,10.1007/978-3-030-21351-0_7,"Education, Gender Gap, and Market Openness: A Comparative Study of Urban Latin America and East Asia (1970–2000)",2019,NOT_RELEVANT,NA,observational,n/a,n/a,n/a,does not study a covered legal-policy mechanism,,
W2955532978,10.1371/journal.pmed.1002834,Educational attainment and cardiovascular disease in the United States: A quasi-experimental instrumental variables analysis,2019,RELEVANT,OFF_OUTCOME,theory,compulsory-schooling reform,schooling outcomes,forward,estimates or analyzes a covered law first stage or non-fertility effect,,
W2525773619,10.13128/rea-18635,Effects of land related factors on child labour in agriculture: evidences from Peru,2019,NOT_RELEVANT,NA,theory,n/a,n/a,n/a,does not study a covered legal-policy mechanism,,
W2972800761,10.33324/udaakadem.v1i3.203,El gasto público en educación y su impacto en el crecimiento de la economía ecuatoriana 2007-2017,2019,NOT_RELEVANT,NA,other,n/a,n/a,n/a,title and abstract do not study a covered legal-policy mechanism,,
W2891445448,10.1177/1536867x19830877,Fast and wild: Bootstrap inference in Stata using boottest,2019,NOT_RELEVANT,NA,other,n/a,n/a,n/a,title and abstract do not study a covered legal-policy mechanism,,
W2946826152,10.35537/10915/74463,Fecundidad adolescente y educación ¿causa o consecuencia?,2019,NOT_RELEVANT,NA,observational,n/a,n/a,n/a,does not study a covered legal-policy mechanism,,
W2749109812,10.1093/wber/lhz042,"Free Primary Education, Fertility, and Women’s Access to the Labor Market: Evidence from Ethiopia",2019,RELEVANT,OFF_EXPOSURE,theory,education expansion or reform,fertility timing,forward,Studies education access or attainment and fertility without a clearly covered legal mandate.,,
W2912561219,10.1016/j.econmod.2019.01.011,From family security to the welfare state: Path dependency of social security on the difference in legal origins,2019,NOT_RELEVANT,NA,other,n/a,n/a,n/a,title and abstract do not study a covered legal-policy mechanism,,
W2954822871,10.1177/1536867x19854019,Fuzzy differences-in-differences with Stata,2019,NOT_RELEVANT,NA,review,n/a,n/a,n/a,does not study a covered legal-policy mechanism,,
W2991315069,10.1177/0003122419886550,"Genes, Gender Inequality, and Educational Attainment",2019,RELEVANT,OFF_EXPOSURE,observational,education or schooling,fertility timing,forward,Studies education access or attainment and fertility without a clearly covered legal mandate.,,
W2990295180,10.1007/978-3-030-21599-6_7,"Health Spending, Education and Endogenous Demographics in an OLG Model",2019,NOT_RELEVANT,NA,other,n/a,n/a,n/a,title and abstract do not study a covered legal-policy mechanism,,
W2908140349,10.1016/j.labeco.2019.101748,Immigrants move where their skills are scarce: Evidence from English proficiency,2019,NOT_RELEVANT,NA,observational,n/a,n/a,n/a,does not study a covered legal-policy mechanism,,
W4241518675,10.1007/978-3-030-00181-0_27,Labor Markets,2019,NOT_RELEVANT,NA,other,n/a,n/a,n/a,No covered child-labor or compulsory-schooling policy-to-fertility relationship is indicated.,,
W2911332409,10.1007/978-3-319-99480-2_3,Marital Fertility and Investment in Children’s Education,2019,NOT_RELEVANT,NA,other,n/a,n/a,n/a,title and abstract do not study a covered legal-policy mechanism,,
W2966371935,10.1108/s0731-90532019000040a013,New Evidence on the Effect of Compulsory Schooling Laws,2019,RELEVANT,OFF_OUTCOME,observational,compulsory-schooling law,schooling or child labor,forward,Directly examines a covered policy or mechanism first stage without a fertility outcome.,,
W2945342602,,Number of Births and Quality of Education- Evidence from CEPS and a New Explanation,2019,NOT_RELEVANT,NA,other,n/a,n/a,n/a,title and abstract do not study a covered legal-policy mechanism,,
W3122498362,10.1093/jeea/jvz059,Perverse Consequences of Well Intentioned Regulation: Evidence from India’s Child Labor Ban,2019,RELEVANT,OFF_OUTCOME,theory,child-labor or minimum-age regulation,child labor,forward,estimates or analyzes a covered law first stage or non-fertility effect,,
W2921695319,10.1016/j.econedurev.2019.03.001,School resources and labor market outcomes: Evidence from early twentieth-century Georgia,2019,NOT_RELEVANT,NA,other,n/a,n/a,n/a,No covered child-labor or compulsory-schooling policy-to-fertility relationship is indicated.,,
W2966050564,10.1111/padr.12270,Schooling and Labor Market Impacts of Bolivia's <i>Bono Juancito Pinto</i> Program,2019,NOT_RELEVANT,NA,quasi-experimental,n/a,schooling and labor-market outcomes,n/a,Evaluates a cash-transfer program rather than the covered legal mandates.,,
W2911056353,10.1016/j.econedurev.2019.01.002,Schooling with learning: The effect of free primary education and mother tongue instruction reforms in Ethiopia,2019,NOT_RELEVANT,NA,other,n/a,n/a,n/a,No covered child-labor or compulsory-schooling policy-to-fertility relationship is indicated.,,
W2979888791,10.1093/aje/kwz221,State School Policies as Predictors of Physical and Mental Health: A Natural Experiment in the REGARDS Cohort,2019,RELEVANT,PRIMARY_CS_QUANTUM,quasi-experimental,compulsory-schooling law,fertility,forward,Estimates a covered legal-policy effect on fertility.,,
W2924921004,10.1162/rest_a_00851,Structural Change and the Fertility Transition,2019,RELEVANT,THEORY,theory,child-labor mechanism,fertility and development,forward,formal model links child labor and fertility without a policy estimand,,
W1138942593,10.1111/ecin.12759,TEENAGE RISKY BEHAVIOR AND PARENTAL SUPERVISION: THE UNINTENDED CONSEQUENCES OF MULTIPLE SHIFTS SCHOOL SYSTEMS,2019,NOT_RELEVANT,NA,other,n/a,n/a,n/a,title and abstract do not study a covered legal-policy mechanism,,
W2258980632,10.1017/s1365100518000937,"THE TWO REVOLUTIONS, LANDED ELITES, AND EDUCATION DURING THE INDUSTRIAL REVOLUTION",2019,NOT_RELEVANT,NA,theory,n/a,n/a,n/a,No covered child-labor or compulsory-schooling policy-to-fertility relationship is indicated.,,
W2921535982,10.3386/w25663,The Impact of Early Investments in Urban School Systems in the United States,2019,NOT_RELEVANT,NA,quasi-experimental,n/a,n/a,n/a,does not study a covered legal-policy mechanism,,
W2947877649,10.5539/ies.v12n6p39,The Impact of Relative Age Effect on Mathematics Achievement,2019,NOT_RELEVANT,NA,theory,n/a,n/a,n/a,title and abstract do not study a covered legal-policy mechanism,,
W2949239210,10.3386/w25994,The Long-Term Impacts of Girl-Friendly Schools: Evidence from the BRIGHT School Construction Program in Burkina Faso,2019,NOT_RELEVANT,NA,other,n/a,n/a,n/a,title and abstract do not study a covered legal-policy mechanism,,
W2978756273,,"The Political Economy of Automation: Its Effects on Workers Past, Present, and Future",2019,NOT_RELEVANT,NA,theory,n/a,n/a,n/a,does not study a covered legal-policy mechanism,,
W2647799028,10.1007/s13524-018-0748-6,The Timing of Teenage Births: Estimating the Effect on High School Graduation and Later-Life Outcomes,2019,NOT_RELEVANT,NA,other,n/a,n/a,n/a,title and abstract do not study a covered legal-policy mechanism,,
W2908334026,10.1257/mac.20170189,The Urban Mortality Transition and Poor-Country Urbanization,2019,NOT_RELEVANT,NA,structural,n/a,urbanization,n/a,"Studies mortality-driven urbanization, not child-labor or compulsory-schooling laws.",,
W2968503131,10.1002/berj.3569,The effect of modular education on school dropout,2019,NOT_RELEVANT,NA,other,n/a,n/a,n/a,title and abstract do not study a covered legal-policy mechanism,,
W2994652547,10.1016/j.jdeveco.2019.102432,"The long reach of cotton in the US South: Tenant farming, mechanization, and low-skill manufacturing",2019,NOT_RELEVANT,NA,other,n/a,n/a,n/a,title and abstract do not study a covered legal-policy mechanism,,
W2990695618,10.17635/lancaster/thesis/776,The role of the government support for education attainment and fertility decisions,2019,NOT_RELEVANT,NA,review,n/a,n/a,n/a,does not study a covered legal-policy mechanism,,
W2795047867,10.3386/w25904,Two-way Fixed Effects Estimators with Heterogeneous Treatment Effects,2019,NOT_RELEVANT,NA,other,n/a,n/a,n/a,title and abstract do not study a covered legal-policy mechanism,,
W4233275314,10.1093/oso/9780190914653.003.0017,Violence,2019,NOT_RELEVANT,NA,quasi-experimental,n/a,n/a,n/a,does not study a covered legal-policy mechanism,,
W2883408152,10.1162/rest_a_00822,When It Rains It Pours: The Long-Run Economic Impacts of Salt Iodization in the United States,2019,NOT_RELEVANT,NA,observational,n/a,n/a,n/a,No covered child-labor or compulsory-schooling policy-to-fertility relationship is indicated.,,
W2980521315,10.1016/j.socscimed.2019.112601,"Who dies early? Education, mortality and causes of death in Norway",2019,RELEVANT,OFF_OUTCOME,theory,compulsory-schooling law,schooling or child labor,forward,Directly examines a covered policy or mechanism first stage without a fertility outcome.,,
W2965783019,10.7176/jep/10-17-12,Will Raising Compulsory School Attendance Reduce Dropouts?,2019,RELEVANT,OFF_OUTCOME,theory,compulsory-schooling reform,schooling outcomes,forward,estimates or analyzes a covered law first stage or non-fertility effect,,
W2970566633,10.1017/9781108233767.023,Benefits and Costs of the Population and Demography Targets for the Post-2015 Development Agenda,2018,NOT_RELEVANT,NA,other,n/a,n/a,n/a,title and abstract do not study a covered legal-policy mechanism,,
W2807499339,10.1111/ecoj.12623,Can Internal Migration Foster the Convergence in Regional Fertility Rates? Evidence from 19th Century France,2018,NOT_RELEVANT,NA,quasi-experimental,n/a,n/a,n/a,does not study a covered legal-policy mechanism,,
W2809585005,10.18352/ulr.436,Can WTO Member States Rely on Citizen Concerns to Prevent Corporations from Importing Goods Made from Child Labour?,2018,NOT_RELEVANT,NA,observational,n/a,n/a,n/a,No covered child-labor or compulsory-schooling policy-to-fertility relationship is indicated.,,
W2938114988,10.31228/osf.io/4hb5z,Can WTO Member States Rely on Citizen Concerns to Prevent Corporations from Importing Goods Made from Child Labour?,2018,NOT_RELEVANT,NA,observational,n/a,n/a,n/a,No covered child-labor or compulsory-schooling policy-to-fertility relationship is indicated.,,
W2793646432,10.1093/obo/9780199791231-0197,Children in the Industrial Revolution,2018,NOT_RELEVANT,NA,other,n/a,n/a,n/a,title and abstract do not study a covered legal-policy mechanism,,
W57849368,10.1184/r1/6471125.v1,"Compulsory Schooling, the Family, and the ""Foreign Element,"" Evidence from the United States, 1880-1900",2018,RELEVANT,OFF_OUTCOME,quasi-experimental,compulsory-schooling laws,child and sibling school attendance,forward,"Uses exogenous variation in covered laws to estimate attendance first-stage and intrafamily allocation effects, not fertility.",,
W2896318592,10.1007/978-3-319-76694-2_11,Curricular Differentiation and Its Impact on Different Status Groups Including Immigrants and Students with Disabilities,2018,NOT_RELEVANT,NA,other,n/a,n/a,n/a,title and abstract do not study a covered legal-policy mechanism,,
W2811184689,10.1111/rode.12405,Demographic change and long‐term growth in China: Past developments and the future challenge of aging,2018,RELEVANT,OFF_EXPOSURE,theory,education or schooling,fertility,forward,Studies education access or attainment and fertility without a clearly covered legal mandate.,,
W3122538646,10.3386/w25018,Difference-in-Differences with Variation in Treatment Timing,2018,NOT_RELEVANT,NA,quasi-experimental,n/a,n/a,n/a,No covered child-labor or compulsory-schooling policy-to-fertility relationship is indicated.,,
W2886391416,10.1097/mlr.0000000000000976,Do Patients With More Education Receive More Subsidized Dental Care? Evidence From a Natural Experiment Using the Introduction of a School Reform in Norway as an Instrumental Variable,2018,NOT_RELEVANT,NA,quasi-experimental,n/a,n/a,n/a,does not study a covered legal-policy mechanism,,
W4232726752,10.31235/osf.io/eah4w,Does Children's Education Improve Parental Health and Longevity? Causal Evidence from Great Britain,2018,RELEVANT,OFF_OUTCOME,quasi-experimental,covered schooling or child-labor law,non-fertility outcome,forward,covered legal policy is studied directly,,
W2903338906,10.1016/j.ijedudev.2018.09.001,Does childhood work impede long-term human capital accumulation? Empirical evidence from rural Ethiopia,2018,NOT_RELEVANT,NA,observational,n/a,n/a,n/a,does not study a covered legal-policy mechanism,,
W2809858012,10.1016/j.electstud.2018.06.009,Does education affect immigration attitudes? Evidence from an education reform,2018,NOT_RELEVANT,NA,quasi-experimental,n/a,n/a,n/a,does not study a covered legal-policy mechanism,,
W2975761343,10.2139/ssrn.3270365,Economic Growth With Locked-In Fertility: Under- and Over-Investment in Education,2018,NOT_RELEVANT,NA,other,n/a,n/a,n/a,title and abstract do not study a covered legal-policy mechanism,,
W4300908999,10.1057/978-1-349-95189-5_2819,Economic Growth in the Very Long Run,2018,NOT_RELEVANT,NA,theory,n/a,n/a,n/a,does not study a covered legal-policy mechanism,,
W2805340188,10.1257/aer.20170748,Escaping Malthus: Economic Growth and Fertility Change in the Developing World,2018,NOT_RELEVANT,NA,other,n/a,n/a,n/a,title and abstract do not study a covered legal-policy mechanism,,
W2810403716,,Essays on Economic and Education Reforms in Developing Countries,2018,NOT_RELEVANT,NA,quasi-experimental,n/a,n/a,n/a,does not study a covered legal-policy mechanism,,
W2888978570,10.5539/ies.v11n9p36,Evaluating the Role of Education as a Birth Control Policy in Burkina Faso: A Propensity Score Weighting Approach,2018,NOT_RELEVANT,NA,observational,n/a,n/a,n/a,does not study a covered legal-policy mechanism,,
W2354657987,10.1257/aer.20141406,"Family Ruptures, Stress, and the Mental Health of the Next Generation",2018,NOT_RELEVANT,NA,observational,n/a,n/a,n/a,does not study a covered legal-policy mechanism,,
W2892678806,10.4054/demres.2018.39.20,Fewer mothers with more colleges? The impacts of expansion in higher education on first marriage and first childbirth,2018,RELEVANT,OFF_EXPOSURE,quasi-experimental,education or schooling,fertility,forward,Studies education access or attainment and fertility without a clearly covered legal mandate.,,
W2900338505,10.1016/j.eeh.2018.11.002,Finding the fat: The relative impact of budget fluctuations on African-American schools,2018,NOT_RELEVANT,NA,other,n/a,n/a,n/a,No covered child-labor or compulsory-schooling policy-to-fertility relationship is indicated.,,
W2781639784,10.1257/app.20160278,For Better or for Worse?: Education and the Prevalence of Domestic Violence in Turkey,2018,RELEVANT,OFF_OUTCOME,quasi-experimental,compulsory-schooling law,non-fertility outcome,forward,covered law is evaluated for a non-fertility outcome,,
W2465987672,10.1016/j.econedurev.2018.12.002,From high school to the high chair: Education and fertility timing,2018,NOT_RELEVANT,NA,other,n/a,n/a,n/a,title and abstract do not study a covered legal-policy mechanism,,
W3123820681,10.3386/w25165,"Grandparents, Moms, or Dads? Why Children of Teen Mothers Do Worse in Life",2018,NOT_RELEVANT,NA,observational,n/a,n/a,n/a,does not study a covered legal-policy mechanism,,
W4253558726,10.1057/978-1-349-95189-5_2848,Growth Take-Offs,2018,NOT_RELEVANT,NA,other,n/a,n/a,n/a,title and abstract do not study a covered legal-policy mechanism,,
W2902821452,10.1080/00220388.2018.1546844,How Does Female Education Reduce Adolescent Pregnancy and Improve Child Health?: Evidence from Uganda’s Universal Primary Education for Fully Treated Cohorts,2018,RELEVANT,OFF_EXPOSURE,observational,education expansion or reform,fertility timing,forward,Studies education access or attainment and fertility without a clearly covered legal mandate.,,
W3124074379,10.1111/ecoj.12610,How Women's Rights Affect Fertility: Evidence From Nigeria,2018,NOT_RELEVANT,NA,other,n/a,n/a,n/a,title and abstract do not study a covered legal-policy mechanism,,
W2884093496,10.1016/j.socscimed.2018.07.016,How and why studies disagree about the effects of education on health: A systematic review and meta-analysis of studies of compulsory schooling laws,2018,UNCERTAIN,OFF_OUTCOME,other,potential covered policy,n/a,n/a,title is plausibly relevant but no abstract is supplied,,
W3149502347,10.1057/978-1-349-95189-5_2229,"Human Capital, Fertility and Growth",2018,NOT_RELEVANT,NA,observational,n/a,n/a,n/a,does not study a covered legal-policy mechanism,,
W2891301662,10.1007/978-981-13-1843-6_5,"Interrelationship Between Poverty, Growth, and Inequality in India: A Spatial Approach",2018,NOT_RELEVANT,NA,other,n/a,n/a,n/a,No covered child-labor or compulsory-schooling policy-to-fertility relationship is indicated.,,
W1791695206,10.1093/rof/rfy005,Learning to Take Risks? The Effect of Education on Risk-Taking in Financial Markets,2018,RELEVANT,OFF_OUTCOME,other,covered schooling or child-labor law,non-fertility outcome,forward,covered legal policy is studied directly,,
W2905677839,10.3386/w25400,Long-run Impacts of Agricultural Shocks on Educational Attainment: Evidence from the Boll Weevil,2018,RELEVANT,MODE_PRODUCTION,observational,productive value of children,child labor or fertility,forward,Links the productive value of children or child labor to fertility outside covered legal variation.,,
W4243861539,10.1057/978-1-349-95189-5_2700,Poverty Traps,2018,NOT_RELEVANT,NA,theory,n/a,n/a,n/a,No covered child-labor or compulsory-schooling policy-to-fertility relationship is indicated.,,
W2885787952,10.1007/978-3-319-89755-4_4,Schooling and Fertility,2018,UNCERTAIN,OFF_EXPOSURE,other,education or schooling,fertility or family formation,forward,title is plausibly relevant but no abstract is available,,
W2884074912,10.1080/00220388.2018.1493195,"Schooling, Wealth, Risky Sexual Behaviour, and HIV/AIDS in Sub-Saharan Africa",2018,NOT_RELEVANT,NA,other,n/a,n/a,n/a,title and abstract do not study a covered legal-policy mechanism,,
W4237267130,10.4018/978-1-5225-6912-1.ch017,The Determinants of Female Labor Force Participation,2018,NOT_RELEVANT,NA,theory,n/a,n/a,n/a,No covered child-labor or compulsory-schooling policy-to-fertility relationship is indicated.,,
W3127133323,10.2139/ssrn.3202481,The Distribution of the Gender Wage Gap,2018,NOT_RELEVANT,NA,other,n/a,n/a,n/a,No covered child-labor or compulsory-schooling policy-to-fertility relationship is indicated.,,
W2779547524,10.1093/acrefore/9780190625979.013.7,The Effect of Education on Health and Mortality: A Review of Experimental and Quasi-Experimental Evidence,2018,NOT_RELEVANT,NA,review,n/a,n/a,n/a,does not study a covered legal-policy mechanism,,
W3124256851,10.3386/w24225,The Effect of Education on Health and Mortality: A Review of Experimental and Quasi-Experimental Evidence.,2018,NOT_RELEVANT,NA,quasi-experimental,n/a,n/a,n/a,No covered child-labor or compulsory-schooling policy-to-fertility relationship is indicated.,,
W2615801964,10.1080/00220388.2018.1448066,The Effect of Food Price Changes on Child Labour: Evidence from Uganda,2018,NOT_RELEVANT,NA,other,n/a,n/a,n/a,title and abstract do not study a covered legal-policy mechanism,,
W2804453480,10.1257/pandp.20181105,The Effect of Parental Education on Children's Drug and Alcohol Use,2018,RELEVANT,OFF_OUTCOME,quasi-experimental,compulsory-schooling reform,non-fertility outcome,forward,estimates or analyzes a covered law first stage or non-fertility effect,,
W2108204833,10.1086/700076,The Effects of Compulsory-Schooling Laws on Teenage Marriage and Births in Turkey,2018,RELEVANT,TEMPO,quasi-experimental,compulsory schooling laws,teenage marriage and births,forward,Estimates a schooling-policy effect on teenage pregnancy or fertility timing.,,
W3109125153,10.3386/w25130,The Limits and Consequences of Population Policy: Evidence from China’s Wan Xi Shao Campaign,2018,NOT_RELEVANT,NA,other,n/a,n/a,n/a,title and abstract do not study a covered legal-policy mechanism,,
W2603847191,10.1016/j.jebo.2018.06.007,The effect of school entrance age on educational outcomes: Evidence using multiple cutoff dates and exact date of birth,2018,UNCERTAIN,OFF_EXPOSURE,other,education or schooling,fertility or family formation,forward,title is plausibly relevant but no abstract is available,,
W3022037017,10.22459/cschd.08.2018.04,The unpublished manuscript,2018,NOT_RELEVANT,NA,other,n/a,n/a,n/a,title and abstract do not study a covered legal-policy mechanism,,
W3113386924,10.33915/etd.7237,Three Essays Using Natural Experiments to Measure Causal Effects on Education,2018,NOT_RELEVANT,NA,other,n/a,n/a,n/a,title and abstract do not study a covered legal-policy mechanism,,
W2911672784,10.1093/oxfordhb/9780190882617.013.21,"US Fertility Rates and Childbearing in American Economic History, 1800–2010",2018,NOT_RELEVANT,NA,observational,n/a,n/a,n/a,No covered child-labor or compulsory-schooling policy-to-fertility relationship is indicated.,,
W4256020403,10.1007/978-3-319-89755-4_7,Wage and Fertility Gaps in Dual Economies,2018,NOT_RELEVANT,NA,other,n/a,wage and fertility gaps,n/a,Title indicates dual-economy wage and fertility gaps but no child-labor or compulsory-schooling law.,,
